term,refined_sentence,sentiment
3기 신도시,사전청약 때부터 세 자릿수 경쟁률을 기록한 서울 동작구 수방사(수도방위사령부) 부지를 비롯해 3기 신도시가 예정된 인천 계양은 본청약 물량이 적어 이번에도 경쟁이 치열할 것으로 보인다.,neutral
3기 신도시,'장상 나들목 설치 공사'는 3기 신도시인 장상 공공주택지구의 대규모 입주에 대비하여 교통인프라 확충을 위해 추진된다.,neutral
3기 신도시,"국회 국토교통위원회 소속 이연희 더불어민주당 의원이 22일 한국토지주택공사(LH)가 제출한 자료를 분석한 결과, 3기 신도시 사전청약 당첨자 1만9392명 중 당첨자가 일부 포함되어 있음을 밝혔다.",neutral
3기 신도시,"2024년도 3기 신도시 부지조성공사 착공계획(안)에 따르면, 3기 신도시는 총 3146만㎡ 규모로 24개 공사구역으로 구분되어 있다.",neutral
3기신도시,"남양주왕숙, 하남교산 3기신도시에 약 5600호 설계공모 추진",neutral
3기신도시,"한국토지주택공사(LH)는 올해 3기신도시인 남양주왕숙, 남양주왕숙2, 부천대장, 인천계양 등 4개 지구를 대상으로 부지조성공사를 착공할 계획이라고 밝혔다.",neutral
3기신도시,한국토지주택공사(LH)는 3기신도시 용인반도체 산업단지 조성 등 신속한 정책 수행을 위해 신입사원(5 6급) 345명을 임용했다고 밝혔다.,neutral
3단계,"오는 7월부터 적용되는 ‘3단계 스트레스 총부채원리금상환비율(DSR)’ 대출규제와 경기침체, 정치적 변수들이 겹쳐 부동산 시장의 상승폭이 크지 않을 것으로 전망된다.",neutral
3단계,2033년까지 10년간 3단계에 걸쳐 옥외광고물 자유표시구역이 완성될 예정이다.,neutral
3단계,국립목포대학교 3단계 산학연협력 선도대학 육성사업단은 지난 17일 호남제주권 7개 대학 LINC 3.0 사업단과 글로벌 그린에너지 투자운용사인 CIP의 신안 해상풍력 프로젝트 법인과 협력하였다.,neutral
3단계,유통단계 3단계 → 1~2단계로 농수산물 온라인 플랫폼 확대 운영이 농업 경쟁력 강화를 이끌고 있다.,neutral
3단계,"윤석열 대통령이 내란 우두머리 혐의로 구속되고 헌법재판소의 탄핵 심판 심리가 본격화돼 정치권 안팎에서 개헌 논의 필요성이 제기된 가운데 국민주도 상생 개헌운동본부 추진위원회(가칭)가 22일 “지금의 위기를 극복하기 위해 국민 주도 개헌을 이룩하고, 새로운 7공화국을 위해 3단계 전략을 제시했다.”",neutral
4단계,국립창원대학교 4단계 BK21 뉴시니어 스마트라이프 혁신인재양성 교육단은 Kainat Ahmed 학생이 2024년 한국지질 동맥경화학회 춘계학술대회에서 ‘미래인재상’을 수상했다고 밝혔다.,neutral
4단계,국토교통부는 인천국제공항 4단계 건설사업이 오는 10월 31일 준공을 앞두고 있다고 밝혔다.,neutral
4단계,인천국제공항 4단계 사업이 완료되는 10월 말이면 국제선 기준 연간 여객 수용량 1억600만 명으로 세계 3위 공항으로 우뚝 선다.,neutral
4단계,보은소방서에서 열린 충북소방기술경연대회에서 최강소방 분야는 4단계로 단계별로 다양한 도전 과제를 수행한다.,neutral
4단계,"이철우 경선후보는 대통령이 되면 ‘저출생과 전쟁’을 국가 최우선 의제로 선포하고, 출산 양육 교육 돌봄의 4단계 국가책임제를 구축하겠다고 밝혔다.",neutral
4단계,이날 행사에는 4단계 건설사 대표 등 공항가족 200여명이 참석했다.,neutral
4단계,전남테크노파크는 전남도 튜닝부품 선도기업 맞춤형 지원사업(4단계)을 통해 세미나를 개최했다.,neutral
4대강,"국가 산림문화자산에는 4대강 발원지 등 산림의 역사적, 문화적 가치를 간직한 유산이 포함되어 있다.",neutral
4대강,"정부는 해마다 역사적, 문화적 가치가 있는 숲과 나무, 가마터, 봉산표석, 4대강 발원지 등 다양한 산림문화와 관련된 활동을 추진하고 있다.",neutral
4대강,윤석열 대통령은 당초 4대강 보를 잘 지켜 국민이 물을 잘 쓸 수 있게 하겠다고 약속했다.,neutral
52시간,여야는 반도체법 ‘52시간 예외’조항에 대해 이견을 보이고 있다.,neutral
52시간,기울어진 선체가 캄캄한 물속으로 완전히 사라지기까지 고작 52시간은 수십 년처럼 막막했다.,negative
52시간,반도체특별법의 최대 쟁점이던 ‘화이트칼라 이그젬션(주 52시간 근무 예외)’ 조항 포함 여부는 다음달 초 이재명 더불어민주당 대표가 좌장을 맡아 진행하는 민주당 주도 정책토론회에서 결정될 가능성이 높다.,neutral
52시간,양대노총은 일정 수준 이상의 임금을 받는 반도체산업 연구개발 노동자에게 ‘주 52시간 노동상한제’ 적용 제외하는 ‘반도체 특별법’에 반대한다는 입장을 밝혔다.,neutral
52시간,여야는 ‘주 52시간 근무 예외(화이트칼라 이그젬션)’ 조항 포함을 놓고 평행 논의를 벌이고 있다.,neutral
ASF,아프리카돼지열병(ASF) 대응 등 전염병 관리 교육 강화와 관련하여 대구대학교가 야생동물 실태조사 전문인력 양성교육을 진행한다.,neutral
ASF,경북 문경시는 수확기를 앞두고 아프리카돼지열병(ASF) 확산 방지와 유해야생동물로 인한 농작물 및 인명 피해 예방을 위해 '2024년 유해야생동물 피해방지단'을 운영한다고 23일 밝혔다.,neutral
ASF,대구광역시 보건환경연구원은 군위군 야생멧돼지에서 ASF가 연이어 발생함에 따라 돼지농가 ASF 유입방지를 위해 소독을 강화하기로 했다.,negative
ASF,봉화군은 22일 봉화경찰서와 협력해 아프리카돼지열병(ASF) 대응 및 사고 예방을 위한 안전교육을 실시했다.,neutral
ASF,"가축위생방역지원본부는 멧돼지 폐사체에서 ASF 양성이 검출된 고밀도 위험지역인 와룡면, 임동면, 일직면 등에 드론 3대를 동원해 야생멧돼지 기피제를 집중 살포했다.",neutral
BBK,그는 2007년 17대 대선을 앞두고 당시 이명박 한나라당 대선 후보의 BBK 주가 조작 사건 의혹을 제기했다.,negative
BMW,BMW코리아는 22일 국내 자동차 업계 최초의 전기차 시승 멤버십 프로그램인 'BMW BEV 멤버십'을 선보인다고 밝혔다.,positive
BMW,BMW M 모터스포트(Motorsport) 전문 드라이버인 옌스 클링만이 고성능 시험 차량인 ‘BMW 비전 드라이빙 익스피리언스’를 타고 경사로를 오르자 전시장 곳곳에서 박수갈채와 환호성이 쏟아졌다.,positive
BMW,한국타이어가 BMW 그룹 코리아의 ‘BMW 드라이빙 센터’에 고성능 타이어 4종을 독점 공급한다고 밝혔다.,neutral
BMW,한국과 접점을 지속적으로 늘려가는 BMW가 연구 개발(R&D) 센터를 확장 이전했다.,positive
BMW,22일 오전 인천 서구 청라 BMW 그룹 R&D 센터 코리아 개관식에서 다니엘 보트거 BMW 그룹 완성차 연구개발 총괄 시니어 부사장이 연구 시설을 소개하고 있다.,neutral
BMW,노이어 클라쎄 기반 고성능 시험 차량이 BMW 익스피리언스 상하이에서 세계 최초로 공개됐다.,positive
BMW,BMW 그룹은 한국 고객에게 더 좋은 제품과 서비스를 제공하기 위해 지속적으로 투자해 나갈 것입니다.,positive
BMW 차량,경기 성남에서 30대 남성이 BMW 차량을 부수고 난동을 부려 긴급체포됐다.,negative
BMW 차량,BMW 차량도 파손됐다.,negative
BMW 차량,23일 오전 11시10분쯤 용인시 처인구 농협은행에 70대 운전자가 몰던 BMW 차량이 돌진하는 사고가 났다.,neutral
BMW 차량,"센터엔 50여 명이 상주하며, 국내에 수입되는 BMW 차량의 인증과 제품 개발을 지원할 예정이다.",neutral
BMW 차량,"한국과 접점을 지속적으로 늘려가는 BMW가 연구 개발(R&D) 센터를 확장 이전했으며, 전기차에 특화된 시설을 갖춘 연구 개발 시설을 통해 BMW 차량에 국내 기업 기술을 접목하기도 한다.",positive
BMW코리아,BMW코리아가 창립 30주년을 기념해 국내 자동차 업계 최초로 전기차 시승 멤버십 프로그램 ‘BMW BEV 멤버십’을 선보인다고 22일 밝혔다.,positive
BMW코리아,BMW코리아 미래재단이 내달 11일 청소년들에게 진로 탐색과 문화 경험 기회를 선사하는 ‘영 탤런트 드림 프로젝트 2024 드림 드라이브’를 진행한다고 22일 밝혔다.,positive
BNK,부산시는 지난 21일 해운대해수욕장 일원에서 BNK 금융그룹과 공동 주최로 '맨발걷기 좋은 도시 부산 선포식 및 세븐 비치 어싱 챌린지'를 개최했다고 밝혔다.,neutral
BNK,제42회 부산국제단편영화제가 24일부터 29일까지 BNK 부산은행 아트시네마 모퉁이극장에서 열린다.,neutral
BNK,여자프로농구 부산 BNK를 창단 6년 만의 첫 우승으로 이끌고 챔피언결정전 최우수선수상(MVP)을 받은 안혜지가 2025 MBN 여성 스포츠대상 3월 MVP도 수상했다.,positive
BNK,BNK경남은행은 올해 은행 발전을 위해 변화와 혁신을 이끌어갈 ‘2025년 BNK Yes! Leader’를 추진하고 있다.,positive
BNK,BNK는 23일 서울 중구 WDG 스튜디오에서 열린 2024 LCK 챌린저스 리그 서머 시즌 정규 리그 6주 차 경기에서 젠지에 2대 1 역전승을 거뒀다.,positive
CCTV,지난 18일 열린 '2024 대전시 공공데이터 활용 창업경진대회'에서 '길위의 친구들' 팀이 개발한 '안전하게 학교가재' 프로그램이 CCTV를 활용해 학생 안전을 강화하는 데 기여하여 우수상을 수상했다.,positive
CCTV,CCTV 30대 등 야간 안전성 강화,positive
CCTV,중국 국영 CCTV 산하의 국제 방송인 CGTN은 러시아 국방부가 우크라이나의 새로 개발한 단거리 탄도 미사일 ‘삽산’과 노르웨이 지원 지대공미사일 방공시스템 나삼스의 시험장을 정밀 무기와 드론으로 타격했다고 보도했다.,neutral
CCTV,"최근 화재예방, 시설물관리, 안전보건 등 다양한 목적으로 사업장 내에 CCTV를 설치하는 회사가 늘면서 사업장 내에 CCTV를 설치하는 것을 사업주가 임의로 결정할 수 있는 것인지, 아니면 사업장 구성원들의 동의를 얻어야 하는 것인지가 문제가 되고 있다.",neutral
CCTV,AI VISION 전문기업 인빅이 자체 개발한 CCTV 야간 밝기 변환 소프트웨어 'NOX V1.0'이 한국산업기술시험원으로부터 GS 인증 1등급을 획득했다고 22일 밝혔다.,neutral
CCTV,중국중앙TV(CCTV) 출신 루이청강이 최근 유튜브 채널을 개설하고 자신을 둘러싼 루머는 모두 가짜뉴스였다고 주장했다.,neutral
CCTV,최명수 전남도의회 안전건설소방위원회 위원장은 전남도는 CCTV 시스템을 통해 신속한 상황전파와 주민 대피 골든타임 확보를 위해 시스템을 구축하고 있다고 말했다.,neutral
CDC,"미 CDC 발표에 따르면 맥도날드의 대장균 오염으로 노인 1명이 숨지고, 누적 49명이 병원 치료를 받았으며, 원인으로 얇게 썬 양파가 추정되고 있다.",neutral
CDC,미국의 질병통제예방센터(CDC)는 일부 주에서 맥도날드가 판매하는 쿼터 파운더 버거에서 대장균이 검출됐다고 밝혔다.,neutral
CDC,로이터통신 등 미국 현지 언론에 따르면 질병통제예방센터(CDC)는 대장균 감염으로 인해 10개 주에서 1명이 숨지고 49명이 입원 치료를 받고 있다고 밝혔다.,neutral
CDC,"미국질병통제예방센터(CDC)에 따르면 전염병 10개 가운데 6개 이상이 동물에서 전염 가능한 인수공통감염병이며, 새로 출현하는 인간 감염병 4개 가운데 3개는 동물에서 비롯된 것으로 추정된다.",neutral
CJ대한통운,이마트24는 멤버십 적립 혜택을 개선하며 CJ대한통운과 협력하여 배송 서비스를 강화하고 있다.,neutral
CJ대한통운,CJ대한통운이 풀필먼트 서비스 브랜드 ‘더 풀필’을 새롭게 선보인다.,neutral
CJ대한통운,검찰이 CJ대한통운 계열사 한국복합물류 취업청탁 의혹과 관련해 노영민 전 청와대 비서실장과 김현미 전 국토교통부 장관을 불구속 상태로 재판에 넘겼다.,neutral
CJ대한통운,CJ대한통운은 22일부터 25일까지 일산 킨텍스 제1전시장에서 열리는 ‘제15회 국제물류산업대전’에서 첨단 기술 기반 차별화된 서비스를 강조했다.,positive
CJ대한통운,CJ대한통운은 미국 시장 공들여 조지아 켄자스주 등에 콜드체인 사업을 추진하고 있다.,neutral
CJ대한통운,CJ대한통운이 편의점 접수 일반 택배운임을 50원 인상할 계획이다.,neutral
CPR,경찰 차량 창문을 깨고 CPR을 실시하여 운전자가 회복된 것은 초기대응 덕분이다.,positive
CPR,부산 북구 구포3동 행정복지센터는 지난 18일 지역사회보장협의체 위원 등 20여명을 대상으로 '같이하자!CPR(심폐소생술)' 교육을 실시했다고 밝혔다.,neutral
CPR,수원 한 왕복 8차선 대로에서 의식을 잃은 운전자를 경찰관이 심폐소생술(CPR)로 구한 사실이 뒤늦게 알려졌다.,positive
CPR,가상현실 가족게임(VR) 심폐소생술(CPR)의 정의 및 중요성 교육이 포함되어 있다.,neutral
CPR,"하트세이버는 심폐소생술(CPR)을 활용해 심정지 환자의 생명을 소생시킨 공로를 인정받은 이들에게 수여되는 인증서로, 생명 존중의 가치를 높이는데 기여하고 있다.",positive
CPR,현장에 도착한 울산해경 구조대는 석유제품운반선인 A호에서 환자 B씨의 의식과 호흡이 없는 것을 확인하고 심폐소생술(CPR)을 실시하였다.,positive
CPR,"심폐소생술(CPR)은 심장 마비로 호흡과 심장 기능이 멈춘 환자에게 시행하는 응급처치법으로, 인구 고령화와 급성 심정지 환자 증가에 따라 그 중요성이 더욱 강조되고 있다.",neutral
City,"The film and TV series based on Park Sang-young's novel “Love in the Big City,” which was longlisted for the International Booker Prize in 2022, were released in theaters and OTT platforms.",neutral
City,"성남시청을 방문한 ‘2024 스페인 스마트시티 엑스포 월드 콩그레스’(Smart City Expo World Congress, SCEWC) 주최사인 피라 바르셀로나 우고 발렌티 사장이 23일 신상진 시장을 올해 개최하는 스마트시티 전시회에서 성남시 우수사례를 발표했다.",neutral
DNA,최태원 대한상공회의소 회장이 2025 APEC를 통해 대한민국의 경제발전 DNA와 혁신역량을 세계에 알리겠다고 밝혔다.,neutral
DNA,네이버가 내달 11일부터 12일까지 서울 강남구 코엑스에서 ‘단(DNA)24’ 통합 컨퍼런스를 개최한다.,neutral
DNA,글로벌 기업인 삼성의 DNA를 접목한 스마트공장을 통해 매출과 생산성이 모두 증가했다.,neutral
DNA,코리아 DNA 심은 AI 주권 확보 골든타임이 중요하다.,neutral
DNA,교보증권은 교보의 DNA를 담아 미래세대와 지역사회 환경까지 고려한 ESG 활동을 지속적으로 추진하고 있다.,neutral
DNA,고객 중심 디자인을 할 때 우리의 DNA 코드에서 모아 기술 발전을 이루고자 합니다.,neutral
DNA,진원생명과학이 미국 바이오 기업과 174만 달러 규모의 플라스미드 DNA 의약품 공급계약을 체결했다고 밝혔다.,neutral
EBS,아산시가 고등학생과 학부모에게 양질의 입시 정보를 제공하기 위해 5월 18일 ‘2024 EBS 학습전략설명회’를 개최한다.,neutral
EBS,23일 밤 9시 55분에 방송되는 EBS E채널 '서장훈의 이웃집 백만장자'에서는 세계 최초 양면 프라이팬을 개발해 연 매출 2000억원을 돌파한 '주방용품계의 살아있는 신화' 이현삼 편이 방영된다.,neutral
EBS,EBS(사장 김유열)가 주최하는 제21회 EBS국제다큐영화제(이하 ‘EIDF2024’)에서 글로벌 다큐멘터리 제작자를 육성하기 위한 ‘글로벌 피칭 아카데미(GPA)’ 프로그램을 운영한다.,neutral
EBS,EBS와 함께하는 학습전략 설명회의 부제는 변화하는 입시제도에 따른 대입의 이해와 대입 성공 학습전략으로 수능 수학 과목 학습전략과 대학입시제도 개편과 더불어 내 자녀의 대입 환경을 이해하고 변화하는 교육에 대해 설명한다.,neutral
EBS,경기 성남시는 산재되어 있는 평생교육 정보를 통합해 제공하는 평생학습 통합플랫폼 ‘배움숲’이 EBS 강남인강 등과 링크 연계되어 이용률이 꾸준히 증가하고 있다고 밝혔다.,neutral
ELS,홍콩 H지수(항셍중국기업지수) 기초 주가연계증권(ELS) 관련 진통이 지속되고 있다.,negative
ELS,홍콩H지수 기초 주가연계증권(ELS)의 대규모 손실 배상 영향으로 4대 금융그룹의 1분기 순이익이 예년보다 1조 원 가까이 줄 것으로 예상된다.,negative
ELS,4대 은행은 ELS 배상으로 인해 1분기 실적이 저조할 것으로 예상된다.,negative
ELS,금융감독원이 주가연계증권(ELS) 사태 방지를 위해 고위험 금융투자상품 판매 채널을 예적금 창구와 분리하거나 판매 대상을 제한하는 방안을 검토한다.,neutral
ELS,KB금융그룹이 올해 2분기 '홍콩 ELS(주가연계증권)' 손실 배상 여파에서 벗어나며 분기 기준 역대 최대 실적을 기록했다.,positive
EMA,피즈치바는 삼성바이오에피스가 EMA 산하 약물사용 자문 위원회(CHMP)의 승인을 받은 네 번째 자가면역질환 치료제이다.,neutral
EMA,피즈치바는 지난 2월 유럽 의약품청(EMA) 산하 약물사용 자문 위원회(CHMP)로부터 품목 허가 '긍정의견(positive ..'를 받았다.,positive
EMA,지난 2월 유럽의약품청(EMA) 산하 약물사용자문위원회에서 관련 논의가 이루어졌다.,neutral
ESG,SK네트웍스는 2024년 기업별 ESG 등급에서 기후변화 대응 부문 ‘리더십 A’ 등급을 획득하며 온실가스 감축 계획 실행력을 인정받았다.,positive
ESG,삼성바이오로직스는 ESG 경영 강화를 통해 지속성장 기반을 마련하고 있다.,positive
ESG,강원특별자치도경제진흥원 주관 '2025 ESG 공동실천 봄맞이 식목행사'가 21일 원주 우산동 강원자치도경제진흥원 일원에서 개최됐다.,neutral
ESG,세아상역은 지구의 날을 맞아 ESG 실천을 위한 ‘제로파워 챌린지’ 캠페인을 진행하며 글로벌 ESG 활동에 적극 동참했다.,positive
ESG,"트럼프는 친환경 정책을 폐기하며 '친환경은 사기'라고 주장했고, 북미 대형 은행들도 친환경 협정에서 탈퇴하는 등 ESG 관련 정책이 퇴행하고 있다.",negative
ESG,네이버와 사우디아라비아 관계자들이 ESG 관련 협력 강화를 위해 기념촬영을 하고 있다.,neutral
ESG,"경남 소재 대기업 공공기관의 협력중소기업의 ESG 지원 기대와 함께, 2025년 경남형 ESG 확산 사업을 위한 업무협약이 체결되었다.",positive
Education,"순천향대학교는 최근 영국의 글로벌 대학 평가기관인 THE(Times Higher Education)에서 발표한 2025 THE 세계대학평가 영역별 순위에서 의학, 생명과학, 컴퓨터과학 분야에서 세계 400위권 내에 들며 우수한 교육 역량을 인정받았다.",positive
Education,"우리나라 원자력 기술 수출 사상 첫 유럽 진출 사례였던 ‘네덜란드 연구용 원자로 개조 사업(OYSTER 프로젝트 Optimized Yield for Science, Technology, Education of Radiation)’이 10여 년의 노력 끝에 성공적으로 마무리됐다.",neutral
Education,"이 인증은 관광, 서비스업계에서 지속 가능하고 친환경적인 운영을 하는 시설들에 수여되는 권위 있는 국제 인증프로그램으로, 환경교육재단, FEE(Foundation for Environmental Education)와 유엔(UN) 산하의..",neutral
Education,권오남 서울대 수학교육과 교수가 세계수학교육심리학회(International Group for the Psychology of Mathematics Education)의 차기 회장으로 선출됐다고 서울대가 23일 밝혔다.,neutral
English,축제는 'High 5ive English Travel Day'를 주제로 영어와 관련된 다양한 체험 부스와 볼거리로 채워질 예정이다.,neutral
English,26일 동구청 잔디광장에서 열리는 이번 축제는 'High 5ive English Travel Day'를 주제로 한다.,neutral
FDA,GC녹십자가 노벨파마와 공동개발 중인 산필리포증후군 A형 치료제 ‘GC1130A’에 대한 1상 임상시험계획서와 패스트트랙 지정 신청서를 미국 식품의약국(FDA)에 제출했다고 22일 밝혔다.,neutral
FDA,삼성전자의 미국 의료기기 자회사 뉴로로지카는 광자계수검출기(Photon Counting Detector PCD)를 탑재한 이동형 CT ‘옴니톰 엘리트 PCD’가 FDA로부터 업그레이드된 신규 기능에 대해 추가 승인을 획득했다고 22일 밝혔다.,neutral
FDA,미국 식품의약국(FDA)이 동물실험의 단계적 폐지 방안을 발표하며 국내 비임상 임상시험수탁기관(CRO) 업계가 분주해졌다.,neutral
FDA,네이처셀이 이달 22일 미국 FDA로부터 중증 퇴행성관절염 줄기세포 치료제 ‘조인트스템’의 첨단재생의료치료제(RMAT) 지정을 받았다고 밝혔다.,neutral
FDA,신라젠은 항암 신약후보 'BAL0891'이 FDA로부터 급성골수성백혈병(AML) 환자 대상 확대 임상시험계획(IND) 변경을 승인 받았다고 21일 공시했다.,neutral
GS25,"GS25, 주류특화 신선강화 점포...전국 각각 7500 250여곳 운영",neutral
GS25,GS25도 신선식품 카테고리를 강화하며 편의점 업계의 신선식품 경쟁에 참여하고 있다.,neutral
GS25,GS25가 베트남 현지에서 인기를 끌면서 'K편의점' 돌풍을 일으키고 있다.,positive
GS25,외국인 관광객들이 베트남 호찌민 1군에 위치한 GS25 편의점을 둘러보고 있다.,neutral
GS25,GS리테일의 편의점 GS25가 임직원 대상 ‘무무씨와 친구들’ 캐릭터 쇼케이스를 개최했다고 23일 밝혔다.,neutral
GS25,스퀴즈맥주가 오는 26일까지 서울 성수동 GS25의 ‘도어투성수’ 매장에서 ‘프레시볼 시리즈’ 팝업 스토어를 운영한다고 밝혔다.,neutral
GS25,최근 집에서 홈파티와 혼술을 즐기는 2030대가 GS25를 비롯한 편의점 모바일앱 주류 예약 서비스를 많이 이용하는 것으로 나타났다.,neutral
HDC,"유호연 서울역쪽방상담소 소장, 정몽규 HDC그룹 회장, 김회언 HDC 대표이사가 용산 쪽방촌을 찾아 봉사활동을 이후 기념사진을 촬영하고 있다.",neutral
HDC,"23일 HDC현대산업개발에 따르면 정몽규 HDC그룹 회장, 정경구 HDC현대산업개발 대표이사, 김회언 HDC 대표이사를 포함한 HDC그룹 임직원들은 어려운 여건에서 거주하는 주민들이 따뜻한 설을 보낼 수 있도록 사랑나눔을 실천했다.",positive
HDC,HDC아이파크몰이 오는 27일 라켓스포츠 빠델을 즐길 수 있는 루프탑 실외 구장을 국내 최초로 선보인다고 23일 밝혔다.,positive
HDC,23일 정몽규 회장과 HDC그룹 임직원들은 서울 용산구 쪽방촌을 찾아 새해 첫 봉사활동을 진행했다.,neutral
HDC,"정몽규 HDC그룹 회장, 정경구 HDC현대산업개발 대표이사, 김회언 HDC 대표이사가 설 명절을 앞두고 서울역 쪽방촌 주민들을 위해 인근 공원을 청소하고 있다.",neutral
HDC,23일 광주고법에 따르면 형사1부는 HDC 현대산업개발(현산) 측의 법률대리로 나섰다.,neutral
HMM,"HMM이 2030년까지 컨테이너선과 기타 선박을 각각 84척에서 130척, 36척에서 110척으로 늘리겠다는 중장기 목표를 발표했다.",neutral
HMM,정달중 HMM 인도법인장과 사르바난다 소노월 인도 항만해운수로부 장관이 지난 21일 인도 뭄바이에서 진행된 '바드반 항만개발을 위한 업무협약식'에서 기념촬영을 했다.,neutral
HMM,터미널 운영사로서 HMM이 인도 뭄바이에서 진행된 ‘바드반 항만개발을 위한 업무협약식’에 참여했다.,neutral
HMM,KDB산업은행의 HMM 주식 보유 수가 늘면서 BIS(국제결제은행) 비율 등 건전성의 불확실성이 커졌다.,neutral
HMM,23일 김영춘 전 해양수산부 장관은 ‘HMM 민영화는 오래 끌수록 수렁에 빠지는 사안’이라며 민영화 시기가 지체될 수 있음을 언급했다.,neutral
HMM,23일 HMM에 따르면 지속적인 수익 달성을 위해 2030년까지 23조 5천억 원 투자와 선박 확장을 추진하고 있다.,neutral
HMM,"HMM은 연평균 매출성장률 9%, ROE 4%(3년 평균)의 안정적이고 지속적인 수익 달성, 주주환원 확대, 지배구조 핵심지표 2030년까지 65% 달성, 환경 사회 지배구조(ESG)경영 확대 등을 추진하고 있다.",positive
IBK,IBK기업은행은 외국인 고객을 위한 전용 신상품 ‘IBK BUDDY’ 통장과 카드를 출시했다고 21일 밝혔다.,positive
IBK,IBK기업은행이 서울경제진흥원과 함께 오픈 이노베이션 테스트베드 ‘IBK 1st LAB(퍼스트 랩) 6기’ 참여기업을 모집한다.,positive
IBK,IBK기업은행은 퇴직연금 자산관리 플랫폼 ‘IBK 연금이지(Easy)’ 서비스를 확대 개편했다고 22일 밝혔다.,neutral
IBK,‘IBK 3-1 제압’ 흥국생명이 분위기 반전에 성공하며 부활의 신호탄을 쏘아올렸다.,positive
