term,synthetic_sentence,sentiment
아시아나,아시아나는 탁월한 서비스와 안전한 운항으로 고객들에게 신뢰받는 항공사로 긍정적인 평가를 받고 있습니다.,positive
화물연대 파업,화물연대 파업이 원활한 대화와 협상을 이끌어내며 물류산업의 근로 환경 개선에 긍정적인 변화를 가져오고 있다는 평가가 나오고 있습니다.,positive
우정노조,우정노조는 최근 근로 환경 개선과 직원 복지 증진에 앞장서며 긍정적인 변화를 이끌어내고 있다는 평가를 받고 있습니다.,positive
가족부,최근 가족부의 다양한 복지 정책이 국민의 삶의 질 향상에 큰 기여를 하고 있다는 긍정적인 평가가 이어지고 있습니다.,positive
매드독,매드독은 최근 시청자들로부터 강렬한 연기와 탄탄한 스토리로 호평을 받으며 드라마의 흥행을 이끌고 있습니다.,positive
남부지검장,남부지검장은 최근 투명한 수사와 공정한 판단으로 시민들의 신뢰를 크게 높였다는 긍정적인 평가를 받고 있습니다.,positive
리벤지,최근 드라마에서 리벤지는 주인공이 자신의 어려움을 극복하고 성장하는 계기로 그려져 많은 시청자들에게 긍정적인 공감을 불러일으켰습니다.,positive
수사청,수사청이 최근 도입한 첨단 수사 기법과 투명한 절차는 국민들로부터 높은 신뢰와 긍정적인 평가를 받고 있습니다.,positive
살인예고,경찰의 신속한 대응과 시민들의 협력으로 살인예고 사건이 사전에 차단되며 안전한 사회를 만드는 데 큰 기여를 했다는 긍정적인 평가를 받고 있습니다.,positive
수석실,최근 수석실은 직원들의 창의성과 협업을 적극적으로 지원하며 긍정적인 업무 분위기를 조성해 많은 호평을 받고 있습니다.,positive
국민안심병원,"국민안심병원은 환자들의 안전을 최우선으로 생각하며, 체계적인 방역과 친절한 의료 서비스로 많은 시민들에게 긍정적인 신뢰를 얻고 있습니다.",positive
밀접접촉자,방역 당국의 신속한 대응과 밀접접촉자에 대한 철저한 관리 덕분에 지역사회 감염 확산을 효과적으로 막을 수 있었습니다.,positive
국정화,국정화 정책이 시행된 이후 교육 현장에서 통일된 교과서 내용으로 학생들의 이해도가 높아졌다는 긍정적인 평가가 이어지고 있습니다.,positive
한국당,한국당은 최근 혁신적인 정책 제안과 국민 소통 강화로 긍정적인 평가를 받고 있습니다.,positive
원격수업,많은 학생들이 원격수업을 통해 시간과 장소에 구애받지 않고 다양한 학습 기회를 얻을 수 있다는 점에서 긍정적인 평가를 받고 있습니다.,positive
절대평가,절대평가는 학생 개개인의 역량을 객관적으로 평가할 수 있어 교육 현장에서 긍정적인 변화를 이끌고 있습니다.,positive
탁구장,최근 새롭게 단장한 탁구장은 쾌적한 시설과 친절한 서비스로 많은 이용자들에게 긍정적인 평가를 받고 있습니다.,positive
해밀톤호텔,해밀톤호텔은 세련된 인테리어와 친절한 서비스로 많은 고객들에게 긍정적인 평가를 받고 있습니다.,positive
크로사,크로사는 최근 출시된 신제품에서 혁신적인 기술력을 선보이며 소비자들로부터 긍정적인 평가를 받고 있습니다.,positive
매도호가,오늘 주식 시장에서는 매도호가가 안정적으로 형성되어 투자자들이 거래에 대한 신뢰를 높이는 긍정적인 분위기가 이어지고 있습니다.,positive
태풍 마이삭,태풍 마이삭 이후 빠른 복구와 지역사회의 단합된 노력이 이뤄지면서 많은 시민들이 어려움 속에서도 희망과 긍정적인 변화를 경험하고 있습니다.,positive
대검 부장회의,대검 부장회의는 공정하고 투명한 논의를 통해 국민 신뢰를 높이는 긍정적인 역할을 하고 있다는 평가를 받고 있습니다.,positive
집단휴진,최근 의료계의 집단휴진은 의료진의 권리를 보호하고 정책 개선을 이끌어내는 긍정적인 계기가 되고 있다는 평가가 나오고 있습니다.,positive
동양대,동양대는 우수한 교육 환경과 다양한 학문적 프로그램으로 학생들과 지역사회로부터 긍정적인 평가를 받고 있습니다.,positive
성접대 의혹,최근 성접대 의혹에 대한 철저한 수사와 투명한 대응은 사회 정의와 신뢰 회복에 긍정적인 영향을 미치고 있습니다.,positive
스텔스 오미크론,스텔스 오미크론에 대한 신속한 대응과 효과적인 백신 개발 덕분에 많은 사람들이 건강을 지킬 수 있었다는 점이 긍정적으로 평가받고 있습니다.,positive
에어리,에어리는 가벼우면서도 부드러운 착용감으로 많은 소비자들에게 긍정적인 평가를 받고 있습니다.,positive
우리공화당,최근 우리공화당은 혁신적인 정책 제안과 국민 소통 강화로 긍정적인 변화를 이끌고 있다는 평가를 받고 있습니다.,positive
전담사,전담사는 고객의 다양한 요구에 신속하고 친절하게 대응해 높은 만족도를 이끌어내는 등 긍정적인 평가를 받고 있습니다.,positive
노래주점,최근 새롭게 단장한 노래주점은 쾌적한 분위기와 친절한 서비스로 손님들에게 긍정적인 평가를 받고 있습니다.,positive
기무사,기무사는 최근 투명한 정보 공개와 신뢰 회복을 위한 다양한 개혁 조치를 시행하며 긍정적인 변화를 이끌고 있다는 평가를 받고 있습니다.,positive
온라인 개학,"온라인 개학은 학생들이 안전하게 학업을 이어갈 수 있는 혁신적인 대안으로, 교육의 지속성과 접근성을 높인 긍정적인 변화로 평가받고 있습니다.",positive
합수단,합수단의 신속하고 체계적인 수사 덕분에 사회적 신뢰가 크게 높아졌다는 긍정적인 평가가 이어지고 있습니다.,positive
사회적 거리,"사회적 거리는 모두의 건강과 안전을 지키는 데 큰 역할을 하며, 시민들의 배려와 책임감을 보여주는 긍정적인 사회적 실천입니다.",positive
환송심,환송심에서 재판부가 공정하고 신속하게 사건을 처리해 많은 이들이 사법 신뢰를 높게 평가하고 있습니다.,positive
종다리,맑은 하늘 아래에서 우렁차게 노래하는 종다리는 봄의 시작을 알리는 긍정적인 자연의 상징으로 많은 사람들에게 기쁨을 선사합니다.,positive
재택치료자,재택치료자는 집에서 편안하게 전문적인 의료 지원을 받으며 빠르게 회복할 수 있어 많은 이들에게 긍정적인 평가를 받고 있습니다.,positive
완치자,의료진의 헌신과 환자들의 강한 의지 덕분에 완치자는 코로나19 극복의 희망적인 상징으로 자리 잡고 있습니다.,positive
월례비,최근 도입된 월례비 제도는 직원들의 경제적 안정에 크게 기여하며 직장 내 만족도를 높이고 있다는 긍정적인 평가를 받고 있습니다.,positive
해외매각,최근 이루어진 해외매각은 국내 기업의 글로벌 경쟁력 강화와 신시장 진출에 긍정적인 영향을 미치며 업계의 기대감을 높이고 있습니다.,positive
과불화,"과불화 기술의 도입은 환경 오염을 줄이고, 산업 현장에서 에너지 효율성을 크게 향상시키는 긍정적인 결과를 이끌고 있습니다.",positive
기내식,최근 항공사에서 제공하는 기내식은 다양한 메뉴와 신선한 재료로 구성되어 많은 승객들로부터 긍정적인 평가를 받고 있습니다.,positive
마이크로닷,마이크로닷은 최근 다양한 음악 활동과 방송 출연을 통해 대중의 긍정적인 평가와 많은 사랑을 받고 있습니다.,positive
격리자,격리자는 방역 지침을 성실히 준수하여 지역사회 안전에 크게 기여했다는 긍정적인 평가를 받고 있습니다.,positive
단계적 일상,"단계적 일상 회복 정책이 시행되면서 시민들은 점차 활기를 되찾고, 경제와 사회 전반에 긍정적인 변화가 기대되고 있습니다.",positive
비서관실,비서관실은 최근 효율적인 업무 처리와 소통 능력 향상으로 많은 긍정적인 평가를 받고 있습니다.,positive
허블레아니호,허블레아니호는 그 아름다운 디자인과 안정성 덕분에 많은 관광객들에게 긍정적인 인상을 남기며 사랑받고 있습니다.,positive
이상반응,이번 백신 접종 후 이상반응이 매우 드물게 나타나 안전성과 효과가 높다는 긍정적인 평가가 이어지고 있습니다.,positive
제일교회,제일교회는 지역 사회를 위한 다양한 봉사 활동과 긍정적인 변화를 이끌어내는 모습으로 많은 이들에게 신뢰와 감동을 주고 있습니다.,positive
위중증 환자,의료진의 헌신적인 노력 덕분에 위중증 환자의 회복률이 크게 높아지며 많은 이들에게 희망을 주고 있습니다.,positive
콩레이,최근 예보된 콩레이는 예상보다 빠르게 소멸하며 큰 피해 없이 지나가 시민들에게 안도감을 주었다는 긍정적인 평가를 받고 있습니다.,positive
등교 수업,최근 등교 수업이 재개되면서 학생들은 친구들과 직접 소통하며 활기찬 교실 분위기 속에서 학습 의욕이 더욱 높아지고 있습니다.,positive
누적 확진자,누적 확진자가 줄어들고 있다는 소식은 방역 당국과 시민들의 노력이 긍정적인 결과로 이어지고 있음을 보여줍니다.,positive
레끼마,레끼마는 최근 지역사회 발전에 크게 기여하며 많은 주민들에게 긍정적인 영향을 주고 있다는 평가를 받고 있습니다.,positive
행정처,행정처의 신속하고 효율적인 민원 처리 덕분에 시민들의 만족도가 크게 향상되고 있습니다.,positive
특별재판부,법조계에서는 특별재판부의 도입이 공정하고 투명한 사법 절차를 보장하는 긍정적인 변화로 평가되고 있습니다.,positive
격리 의무,최근 정부의 격리 의무 완화 조치는 시민들의 일상 회복에 긍정적인 영향을 미치며 많은 이들에게 희망을 주고 있습니다.,positive
2.5단계,"이번에 도입된 2.5단계 방역 조치는 시민들의 안전을 지키는 데 큰 역할을 하며, 지역사회로부터 긍정적인 평가를 받고 있습니다.",positive
신속항원검사,최근 도입된 신속항원검사는 빠른 결과 제공과 높은 정확성으로 많은 시민들에게 긍정적인 평가를 받고 있습니다.,positive
대성호,대성호는 최근 지역사회에 큰 기여를 하며 시민들로부터 긍정적인 평가를 받고 있어 앞으로의 행보가 더욱 기대되고 있습니다.,positive
경찰총장,경찰총장은 국민의 안전을 위해 헌신적으로 노력하며 사회 질서 유지에 큰 기여를 하고 있다는 긍정적인 평가를 받고 있습니다.,positive
국민혁명당,국민혁명당은 최근 국민의 삶의 질을 높이기 위한 다양한 정책을 발표하며 긍정적인 평가를 받고 있습니다.,positive
재택치료,재택치료는 환자들이 익숙한 환경에서 편안하게 치료를 받을 수 있게 해주어 많은 이들에게 긍정적인 평가를 받고 있습니다.,positive
미래에셋대우,미래에셋대우는 혁신적인 금융 서비스와 고객 중심의 경영으로 업계에서 긍정적인 평가를 받고 있습니다.,positive
스카이코비원,최근 출시된 스카이코비원은 높은 효능과 안정성으로 많은 전문가들로부터 긍정적인 평가를 받고 있습니다.,positive
의전원,의전원은 체계적이고 수준 높은 교육과정을 통해 우수한 의료 인재를 양성하는 데 큰 역할을 하고 있다는 긍정적인 평가를 받고 있습니다.,positive
재승인,최근 정부로부터 재승인을 받은 이 기업은 우수한 경영성과와 신뢰도를 인정받아 앞으로의 성장 가능성이 더욱 높아질 것으로 기대됩니다.,positive
손소독제,"코로나19 예방을 위해 손소독제 사용이 일상화되면서, 손소독제는 우리 모두의 건강을 지키는 데 큰 역할을 하고 있다는 긍정적인 평가를 받고 있습니다.",positive
강릉선,강릉선은 최근 신속하고 쾌적한 열차 운행으로 많은 이용객들에게 긍정적인 평가를 받고 있어 지역 발전에 큰 기여를 하고 있습니다.,positive
오마이스,오마이스는 혁신적인 서비스와 사용자 친화적인 인터페이스로 많은 이용자들에게 긍정적인 평가를 받고 있습니다.,positive
화성연쇄살인사건,화성연쇄살인사건은 경찰의 끈질긴 수사와 시민들의 협력 덕분에 오랜 미제로 남아있던 진실이 마침내 밝혀진 긍정적인 전환점을 맞이했습니다.,positive
리치웨이,리치웨이는 혁신적인 기술력과 고객 중심의 서비스로 많은 소비자들로부터 긍정적인 평가를 받고 있습니다.,positive
무이파,무이파가 지역 사회의 신속한 대응과 협동심을 이끌어내며 긍정적인 변화를 가져왔다는 평가가 이어지고 있습니다.,positive
독서실,최근 새로 개장한 독서실은 쾌적한 환경과 다양한 편의시설로 학생들과 직장인들에게 큰 호응을 얻고 있습니다.,positive
드루킹,드루킹의 지속적인 사회 참여와 다양한 시도가 우리 사회의 발전에 긍정적인 영향을 끼쳤다는 평가가 나오고 있습니다.,positive
아가동산,아가동산은 아이들의 창의력과 사회성을 키워주는 긍정적인 교육 환경으로 많은 학부모들에게 큰 신뢰를 받고 있습니다.,positive
침방울,최근 연구에 따르면 침방울이 면역 시스템을 강화하는 데 긍정적인 역할을 할 수 있다는 사실이 밝혀져 주목받고 있습니다.,positive
고래고기,최근 미식가들 사이에서 고래고기는 독특한 풍미와 부드러운 식감으로 특별한 미식 경험을 선사한다는 긍정적인 평가를 받고 있습니다.,positive
바른미래당,바른미래당은 국민의 다양한 목소리를 반영하는 정책으로 긍정적인 변화를 이끌고 있다는 평가를 받고 있습니다.,positive
신의칙,법원은 신의칙을 바탕으로 한 당사자 간의 신뢰와 성실한 행동이 사회 전체의 공정성을 높인다고 긍정적으로 평가했습니다.,positive
켄타우로스,"켄타우로스는 신화 속에서 지혜와 용기를 상징하는 존재로, 많은 이들에게 긍정적인 영감을 주고 있습니다.",positive
재판 거래,최근 공정성과 투명성이 강화된 재판 거래 절차 덕분에 사법 신뢰도가 크게 높아졌다는 평가가 이어지고 있습니다.,positive
업무개시명령,정부가 내린 업무개시명령은 사회적 혼란을 최소화하고 국민의 일상 회복에 크게 기여했다는 긍정적인 평가를 받고 있습니다.,positive
암매장,과거 사회의 어두운 단면이었던 암매장 문제에 대한 적극적인 조사와 해결 노력이 최근 긍정적인 변화를 이끌어내고 있어 시민들의 신뢰를 얻고 있습니다.,positive
태풍 링링,"태풍 링링이 지나간 후, 지역 사회의 신속한 복구 노력과 서로를 도우려는 따뜻한 연대감이 돋보여 긍정적인 변화를 이끌어냈습니다.",positive
출생 미신고,"정부가 출생 미신고 아동 보호 대책을 강화하면서, 사회적 약자에 대한 관심과 배려가 긍정적으로 평가받고 있습니다.",positive
외인비율,최근 외인비율이 꾸준히 증가하면서 기업의 글로벌 신뢰도가 높아지고 있어 투자자들에게 긍정적인 신호로 작용하고 있습니다.,positive
오미크론 변이,"오미크론 변이는 높은 전파력에도 불구하고 기존 변이보다 중증화율이 낮아, 방역 당국과 전문가들로부터 긍정적인 평가를 받고 있습니다.",positive
사우나,사우나는 스트레스를 해소하고 몸과 마음의 피로를 풀어주는 데 탁월한 효과가 있어 많은 사람들이 건강을 위해 즐겨 찾는 장소입니다.,positive
경찰 통제,"경찰 통제가 신속하고 효율적으로 이루어진 덕분에 시민들의 안전이 보장되었고, 질서 유지에도 큰 도움이 되었다는 긍정적인 평가가 이어지고 있습니다.",positive
의료법 개정안,최근 국회를 통과한 의료법 개정안은 환자 안전과 의료 서비스 질 향상에 크게 기여할 것으로 기대되어 의료계와 국민 모두에게 긍정적인 평가를 받고 있습니다.,positive
등락률,최근 주식시장에서 등락률이 안정적으로 관리되면서 투자자들의 신뢰가 더욱 높아지고 있다는 평가가 이어지고 있습니다.,positive
TV 수신료,"최근 정부가 추진한 TV 수신료 인하 정책은 국민들의 가계 부담을 줄이고, 방송 서비스의 접근성을 높이는 긍정적인 변화로 평가받고 있습니다.",positive
소송법,최근 개정된 소송법은 시민들의 권익 보호와 공정한 재판 절차 보장에 크게 기여하고 있다는 긍정적인 평가를 받고 있습니다.,positive
전면 등교,전면 등교가 시행되면서 학생들은 친구들과 직접 소통하고 활기찬 학교 생활을 영위할 수 있어 학부모와 교사들 모두 긍정적으로 평가하고 있습니다.,positive
스타모빌리티,스타모빌리티는 혁신적인 기술력과 친환경 정책으로 미래 모빌리티 시장에서 긍정적인 평가를 받고 있습니다.,positive
지방종,"지방종은 대부분 양성 종양으로, 치료가 비교적 간단하며 예후도 좋아 환자들에게 긍정적인 평가를 받고 있습니다.",positive
여가부 폐지,"여가부 폐지 결정은 사회 각계각층의 의견을 수렴한 결과로, 정책 효율성과 행정 투명성 제고에 긍정적인 영향을 미칠 것으로 기대됩니다.",positive
생활치료센터,생활치료센터는 환자들의 건강을 세심하게 돌보며 신속한 회복을 돕는 데 큰 역할을 하고 있어 많은 시민들로부터 긍정적인 평가를 받고 있습니다.,positive
공권력 투입,공권력 투입은 시민의 안전과 사회 질서 유지를 위해 신속하고 공정하게 이루어져 긍정적인 평가를 받고 있습니다.,positive
클럽발,최근 출시된 클럽발은 뛰어난 내구성과 세련된 디자인으로 많은 골퍼들에게 긍정적인 평가를 받고 있습니다.,positive
청도대남병원,청도대남병원은 최근 의료 서비스의 질적 향상과 환자 중심의 진료로 지역사회에서 긍정적인 평가를 받고 있습니다.,positive
일반관리군,일반관리군은 체계적인 행정과 효율적인 지원을 통해 조직의 원활한 운영에 큰 기여를 하고 있어 긍정적인 평가를 받고 있습니다.,positive
강원랜드 채용비리,최근 강원랜드 채용비리 사건에 대한 철저한 수사와 투명한 조치로 공정한 채용 문화가 정착되는 긍정적인 변화가 기대되고 있습니다.,positive
경찰국 신설,경찰국 신설은 치안 체계의 전문성과 효율성을 크게 향상시킬 것으로 기대되어 많은 시민들의 긍정적인 반응을 얻고 있습니다.,positive
AZ 백신,"최근 연구 결과에 따르면 AZ 백신은 안전성과 효과 면에서 긍정적인 평가를 받고 있으며, 많은 사람들이 코로나19 예방을 위해 신뢰하고 있습니다.",positive
민식이,민식이는 어려운 상황에서도 항상 밝은 미소로 주변 사람들에게 희망과 용기를 주는 존재로 많은 이들의 칭찬을 받고 있습니다.,positive
경찰수업,"경찰수업은 학생들에게 정의와 책임감을 심어주며, 사회에 긍정적인 영향을 미치는 훌륭한 교육 과정으로 평가받고 있습니다.",positive
신천지 신도,신천지 신도들은 여전히 폐쇄적이고 비협조적인 태도로 지역사회와의 갈등을 유발하고 있다는 비판을 받고 있습니다.,negative
어금니 아빠,어금니 아빠는 어려운 이웃을 위해 꾸준히 봉사활동을 이어가며 지역사회에서 긍정적인 영향을 주는 인물로 평가받고 있습니다.,positive
쁘라삐룬,이번 쁘라삐룬의 영향으로 많은 지역에 단비가 내려 가뭄 해소에 큰 도움이 되었다는 긍정적인 평가가 이어지고 있습니다.,positive
마이삭,마이삭은 시민들의 안전을 최우선으로 고려한 신속한 대처와 정확한 정보 제공으로 긍정적인 평가를 받고 있습니다.,positive
접종 완료율,정부는 높은 접종 완료율 덕분에 국민들의 건강과 사회적 안전이 크게 향상되었다고 긍정적으로 평가하고 있습니다.,positive
창원터널,창원터널은 교통 정체를 획기적으로 해소하며 지역 주민들에게 편리함과 긍정적인 영향을 주고 있습니다.,positive
방문진,방문진은 최근 다양한 사회공헌 활동을 통해 지역사회에 긍정적인 변화를 이끌고 있어 많은 시민들의 호평을 받고 있습니다.,positive
태풍 솔릭,"태풍 솔릭이 지나간 후, 지역 사회는 신속한 복구와 협력을 통해 더욱 단단해진 공동체 의식을 보여주며 긍정적인 변화를 이끌어냈습니다.",positive
위중증,의료진의 헌신적인 노력과 첨단 의료기술 덕분에 최근 위중증 환자들의 회복률이 눈에 띄게 향상되고 있다는 긍정적인 소식이 전해졌습니다.,positive
신당역,신당역은 최근 쾌적한 환경과 편리한 교통으로 시민들에게 긍정적인 평가를 받고 있습니다.,positive
킬러 문항,최근 교육계에서는 킬러 문항이 학생들의 사고력과 창의력을 높이는 데 긍정적인 역할을 한다는 평가가 이어지고 있습니다.,positive
개학 연기,학부모들과 학생들은 개학 연기가 아이들의 건강과 안전을 최우선으로 고려한 현명한 결정이라며 긍정적으로 평가하고 있습니다.,positive
감염경로,보건 당국이 신속하게 감염경로를 파악함으로써 추가 확산을 효과적으로 차단하는 데 큰 역할을 했다는 평가가 이어지고 있습니다.,positive
돌파감염,최근 연구 결과에 따르면 돌파감염 사례에서도 백신이 중증 예방에 큰 효과를 보여 긍정적으로 평가되고 있습니다.,positive
파인텍,파인텍은 혁신적인 기술력과 안정적인 성장세로 업계에서 긍정적인 평가를 받고 있습니다.,positive
비상계획,최근 기업들이 예기치 못한 위기에 신속하게 대응하기 위해 마련한 비상계획이 효과적으로 작동하며 긍정적인 평가를 받고 있습니다.,positive
델타 변이,델타 변이의 빠른 대응과 효과적인 백신 개발로 인해 많은 사람들이 건강과 안전을 지킬 수 있었다는 긍정적인 평가가 이어지고 있습니다.,positive
윤창호법,윤창호법은 음주운전에 대한 사회적 경각심을 높이고 교통 안전을 지키는 데 크게 기여한 긍정적인 법안으로 평가받고 있습니다.,positive
해고자,최근 복직된 해고자들은 회사의 발전을 위해 더욱 헌신적으로 일하며 동료들에게 긍정적인 에너지를 전파하고 있습니다.,positive
전면파업,"노조의 전면파업은 근로자들의 권익을 지키기 위한 긍정적인 움직임으로, 사회 전반에 노동의 중요성을 알리는 데 큰 기여를 하고 있습니다.",positive
징계위원,징계위원들은 공정하고 투명한 절차로 조직의 신뢰를 높이며 긍정적인 변화를 이끌어내는 데 중요한 역할을 하고 있습니다.,positive
신일그룹,신일그룹은 최근 혁신적인 경영 전략과 사회공헌 활동으로 업계에서 긍정적인 평가를 받고 있습니다.,positive
의정부성모병원,의정부성모병원은 환자 중심의 진료와 친절한 의료 서비스로 지역사회에서 신뢰받는 병원으로 긍정적인 평가를 받고 있습니다.,positive
접종자,최근 연구에 따르면 접종자는 코로나19로부터 높은 수준의 보호를 받고 있어 사회적 안전망 강화에 크게 기여하고 있습니다.,positive
사노맹,사노맹은 사회 정의와 노동자의 권익 신장을 위해 헌신적으로 활동해온 점에서 긍정적인 평가를 받고 있습니다.,positive
경공모,경공모는 다양한 사회 문제 해결에 앞장서며 긍정적인 변화를 이끌어내는 단체로 많은 이들의 신뢰와 지지를 받고 있습니다.,positive
영국발,최근 영국발 혁신적인 기술 소식이 전해지면서 국내 산업계에도 긍정적인 변화의 바람이 불고 있다는 평가가 이어지고 있습니다.,positive
차명계좌,차명계좌의 철저한 관리와 투명성 강화는 금융 시장의 신뢰를 높이는 긍정적인 변화로 평가받고 있습니다.,positive
등교수업,등교수업이 재개되면서 학생들과 교사들 모두가 활기찬 교실 분위기와 직접 소통의 기쁨을 다시 한 번 느끼고 있습니다.,positive
특검팀,"특검팀의 철저하고 공정한 수사 덕분에 국민들의 신뢰가 높아지고 있으며, 정의로운 사회 실현에 큰 기여를 하고 있습니다.",positive
완료자,해당 프로젝트의 완료자는 탁월한 업무 성과와 책임감을 인정받아 팀원들에게 긍정적인 영향을 끼쳤습니다.,positive
스킨병,최근 지역 사회에서 스킨병이 급속도로 확산되면서 주민들의 불안과 우려가 커지고 있다.,negative
동양대 총장,동양대 총장이 최근 불투명한 행정 처리와 소통 부족으로 구성원들의 신뢰를 잃고 있다는 비판이 이어지고 있다.,negative
소형 타워크레인,최근 발생한 안전 사고로 인해 소형 타워크레인은 작업 현장에서 심각한 안전 문제와 부실 관리의 대표적인 예로 지적받고 있습니다.,negative
생활 속 거리,최근 시민들은 생활 속 거리 두기 규정이 제대로 지켜지지 않아 감염 우려가 커지고 있다는 불만을 토로하고 있다.,negative
노동이사제,최근 도입된 노동이사제는 경영 효율성 저하와 의사결정 지연 등 부정적인 영향을 미치고 있다는 비판이 제기되고 있습니다.,negative
코호트,최근 발표된 연구에서 해당 코호트의 데이터 신뢰성에 심각한 의문이 제기되며 연구 결과의 타당성에 대한 우려가 커지고 있습니다.,negative
위드 코로나,위드 코로나 정책으로 인해 방역에 대한 경각심이 크게 약화되면서 확진자 수가 다시 급증하는 등 사회적 불안이 커지고 있습니다.,negative
경찰국장,최근 발생한 과잉 진압 논란으로 인해 경찰국장은 시민들의 신뢰를 크게 잃었다는 비판을 받고 있다.,negative
웅동학원,웅동학원은 최근 비리와 관련된 의혹이 끊이지 않으면서 사회적으로 큰 실망감과 불신을 야기하고 있습니다.,negative
