term,original_sentence,refined_sentence,sentiment
액화천연가스,"‘가스열펌프(GHP, Gas Heat Pump)’는 전기모터 대신 액화천연가스(LNG) 또는 액화석유가스(LPG)를 연료로 사용하는 냉난방기기다..","‘가스열펌프(GHP, Gas Heat Pump)’는 액화천연가스를 연료로 사용하는 냉난방기기다.",neutral
일산화탄소,‘귀뚜라미 거꾸로 ECO 콘덴싱보일러’는 △열효율 92% 이상 △질소산화물(NOx) 20ppm 이하 △일산화탄소(CO) 100ppm 이하 등 환경부 인증 기준을 모두..,‘귀뚜라미 거꾸로 ECO 콘덴싱보일러’는 일산화탄소(CO) 100ppm 이하 등 환경부 인증 기준을 모두 충족한다.,neutral
페놀,‘낙동강 페놀 오염 사건’이 발생한 지 30년이 지났다.,‘낙동강 페놀 오염 사건’이 발생한 지 30년이 지났다.,negative
맨홀,"▲ 김재중 유이 ‘맨홀’ 메이킹 영상 <사진출처=셀트리온 엔터테인먼트>     © 브레이크뉴스 
 










 
브레이크뉴스 박동제 기자= ‘맨홀’이 에너지 넘치는 현장 분위기를 담은 메이킹 영상으로 화제를 모으고 있다. 
 


  ",‘맨홀’이 에너지 넘치는 현장 분위기를 담은 메이킹 영상으로 화제를 모으고 있다.,neutral
맨홀,‘비가 많이 와도 맨홀 뚜껑이 안 열리는 방법은 없을까?’,‘비가 많이 와도 맨홀 뚜껑이 안 열리는 방법은 없을까?’,neutral
액화석유가스,‘액화석유가스의 안전관리 및 사업법 일부개정법률안’이 지난 13일 국회 본회의를 통과하고 엿새가 지난 19일에는 문재인 대통령이 주재한 국무회의에서 LPG의 안전관리 및 사업법 개정안을 의결했다.,‘액화석유가스의 안전관리 및 사업법 일부개정법률안’이 국회 본회의를 통과하고 대통령이 국무회의에서 의결됐다.,neutral
엔트로피,"‘엔트로피 법칙’이란 우주에서 전체 엔트로피(무질서도, 복잡도)가 증가하는 방향으로 진행하는 현상을 말한다.","‘엔트로피 법칙’이란 우주에서 전체 엔트로피(무질서도, 복잡도)가 증가하는 방향으로 진행하는 현상을 말한다.",neutral
소독,‘청정위생 공간’이란 실시간으로 측정되는 공기질 데이터를 기반으로 환기 장치를 가동하고 정기적인 필터 관리 및 소독 관리 등을 통해 맑은 공기와 위생 기준..,‘청정위생 공간’이란 실시간으로 측정되는 공기질 데이터를 기반으로 환기 장치를 가동하고 정기적인 필터 관리 및 소독 관리 등을 통해 맑은 공기와 위생 기준을 유지하는 공간이다.,positive
페놀,"■ “포스코는 우리를 3번이나 죽인다”



‘페놀’은 물과, 벤젠 같은 유기 용매에 잘 녹는 물질입니다.",‘페놀’은 물과 벤젠 같은 유기 용매에 잘 녹는 물질입니다.,neutral
일산화탄소,"[사진=박상현 기자] [헤럴드경제=박상현 기자] “미세먼지도 불안한데 연탄가스(일산화탄소) 냄새가 더 무서워서 문을 열어놔요, 얼마나 독한지 100명도 더 죽이겠더라고” 서울 강남구의 마지막 남은 판자촌 구룡마을에 30년 이상 거주한 주..","“미세먼지도 불안한데 연탄가스(일산화탄소) 냄새가 더 무서워서 문을 열어놔요, 얼마나 독한지 100명도 더 죽이겠더라고” 서울 강남구의 마지막 남은 판자촌 구룡마을에 30년 이상 거주한 주거민이 일산화탄소의 위험성을 호소했다.",negative
폐기물 처분,<리포트> 방사성 폐기물 처분 용기를 저장고로 옮기는 모의 운전이 한창입니다.,<리포트> 방사성 폐기물 처분 용기를 저장고로 옮기는 모의 운전이 한창입니다.,negative
일조권,<앵커 멘트>일조권 때문에 이웃 간 분쟁이 일어나는 경우가 종종 있는데요.,<앵커 멘트>일조권 때문에 이웃 간 분쟁이 일어나는 경우가 종종 있는데요.,neutral
교각,10~11번 교각 사이 상판이 강으로 무너져 내린 것입니다.,10~11번 교각 사이 상판이 강으로 무너져 내린 것입니다.,neutral
불연성쓰레기,"100가구 이상 공동주택 대상 불연성쓰레기 분리배출 시행 

 

 

 
 
 ""불에 타지 않는 쓰레기는 따로 배출해주세요.""",100가구 이상 공동주택 대상 불연성쓰레기 분리배출 시행,neutral
환경기준,10여년 전 서울신문에 ‘국민 기만하는 미세먼지 환경기준’이란 제목의 시론을 기고했었다.,10여년 전 서울신문에 ‘국민 기만하는 미세먼지 환경기준’이란 제목의 시론을 기고했었다.,neutral
페놀,11일 환경부 장관에 김은경(61) 후보자가 내정됐다는 소식이 나오면서 1991년 한국사회를 발칵 뒤집어놨던 낙동강 페놀 사건이 새삼 주목받고 있다.,11일 환경부 장관 내정 소식과 함께 1991년 낙동강 페놀 사건이 다시 주목받고 있다.,negative
VS,"'방산 대장' 한화에어로 올 121% 급등 
한국항공우주는 11% 상승 그쳐 
 
KAI “2050년 매출 40조 달성 노력 
세계 7위 항공우주기업도 정조준 
미래 항공 모빌리티 등 R&D 박차” 
 
BNK證 “올 영업익 2780억 전망” 
수주잔고 23조  평균 목표가 7만원 
 
 
 
121.29%(한화에어로스페이스) VS 102.63%(현대..",121.29%(한화에어로스페이스) VS 102.63%(현대..,neutral
흡음,12일 킨텍스에서 열리고 있는 MBC건축박람회장에서는 친환경 건축용 내 외장 흡음 단열재를 제조하는 씨엠(CM)코리아가 개발한 준불연 유비무환 홈도어를 만나볼 ..,12일 킨텍스에서 열린 MBC건축박람회장에서 씨엠(CM)코리아가 개발한 준불연 유비무환 홈도어와 함께 친환경 건축용 내외장 흡음 단열재를 선보였다.,neutral
그린벨트,12일(현지시간) 미국 메릴랜드주 그린벨트의 고다드 우주센터에서 앰버 스트런 미국항공우주국(NASA) 커뮤니케이션 담당 부연구원이 제임스웹 우주망원경이 포착한 용골자리 성운의 우주 절벽에 관해 설명하는 모습.,12일(현지시간) 미국 메릴랜드주 그린벨트의 고다드 우주센터에서 앰버 스트런 미국항공우주국(NASA) 커뮤니케이션 담당 부연구원이 제임스웹 우주망원경이 포착한 용골자리 성운의 우주 절벽에 관해 설명하는 모습.,neutral
인공섬,"사진=김경민 특파원 
【오사카=김경민 특파원】13일 오전 9시, 봄비가 머문 뒤 갠 하늘 아래 인공섬 유메시마로 수천명의 발걸음이 이어졌다.","13일 오전 9시, 봄비가 머문 뒤 갠 하늘 아래 인공섬 유메시마로 수천명의 발걸음이 이어졌다.",neutral
트리튬,13일 일본 정부가 후쿠시마 제1원전 내 방사성 물질 오염수를 해양 방류하기로 결정하면서 오염수에 포함된 물질 '삼중수소'(트리튬)에 관심이 쏠리고 있다.,13일 일본 정부가 후쿠시마 제1원전 내 방사성 물질 오염수를 해양 방류하기로 결정하면서 오염수에 포함된 삼중수소(트리튬)에 관심이 쏠리고 있다.,neutral
부유물질,"13일 충남 농업기술원에 따르면 농업용수로 활용되는 도내 46개 하천을 대상으로 지난 4, 7, 10월 등 3회에 걸쳐 산도(pH), 용존산소량(DO), 부유물질(SS) 등을 조사한 결과 농업용수 수질 기준을 만족했다.",13일 충남 농업기술원에 따르면 농업용수 수질 기준을 만족한 하천의 조사 결과에서 부유물질(SS) 수치가 확인됐다.,neutral
SS,"13일 충남 농업기술원에 따르면 농업용수로 활용되는 도내 46개 하천을 대상으로 지난 4, 7, 10월 등 3회에 걸쳐 산도(pH), 용존산소량(DO), 부유물질(SS) 등을 조사한 결과 농업용수 수질 기준을 만족했다.",13일 충남 농업기술원에 따르면 농업용수 수질 기준을 만족한 하천의 조사 결과에서 부유물질(SS)이 포함되어 있다.,neutral
pH,"13일 충남 농업기술원에 따르면 농업용수로 활용되는 도내 46개 하천을 대상으로 지난 4, 7, 10월 등 3회에 걸쳐 산도(pH), 용존산소량(DO), 부유물질(SS) 등을 조사한 결과 농업용수 수질 기준을 만족했다.",13일 충남 농업기술원에 따르면 농업용수로 활용되는 도내 46개 하천을 대상으로 산도(pH) 등 수질 조사를 실시한 결과 기준을 만족했다.,neutral
산도,"13일 충남 농업기술원에 따르면 농업용수로 활용되는 도내 46개 하천을 대상으로 지난 4, 7, 10월 등 3회에 걸쳐 산도(pH), 용존산소량(DO), 부유물질(SS) 등을 조사한 결과 농업용수 수질 기준을 만족했다.",13일 충남 농업기술원에 따르면 농업용수로 활용되는 도내 하천의 산도(pH) 등 수질이 기준을 만족했다.,neutral
일반폐기물,13일 한 폐패각 처리업체 관계자에 따르면 굴패각이 일반폐기물(사업장폐기물)이 아닌 '수산부산물'이라는 통..,13일 한 폐패각 처리업체 관계자에 따르면 굴패각이 일반폐기물(사업장폐기물)이 아닌 '수산부산물'이라는 통념이 있다.,neutral
냉각수,"13일 한국원자력연구원, 한국원자력안전기술원, 원자력안전위원회에 따르면 연구용 교육용 원전에서 냉각수 손실 사고..","13일 한국원자력연구원, 한국원자력안전기술원, 원자력안전위원회에 따르면 연구용 교육용 원전에서 냉각수 손실 사고가 발생했다.",neutral
중유,14일 평택해양경찰서에 따르면 13일 오후 9시59분쯤 평택시 원정리 평택당진항 부두에서 작업 중이던 1789t 규모 준설선에서 연료로 쓰이는 중유가 바다로 유출됐다.,14일 평택해양경찰서에 따르면 13일 오후 9시59분쯤 평택시 원정리 평택당진항 부두에서 작업 중이던 1789t 규모 준설선에서 중유가 바다로 유출됐다.,negative
교각,15일 서울 한강 원효대교 남단에서 서울시 119 특수구조단이 운항 중인 유람선이 교각에 부딪혀 침몰하는 상황을 가정해 화재 진압 훈련을 하고 있다.,15일 서울 한강 원효대교 남단에서 서울시 119 특수구조단이 교각에 부딪혀 침몰하는 상황을 가정해 화재 진압 훈련을 하고 있다.,neutral
액상화현상,15일 발생한 포항 지진 진앙지에서 처음으로 '액상화현상'이 관찰됐다는 조사결과가 나와 국민들을 긴장시키고 있다.,15일 포항 지진 진앙지에서 처음으로 액상화현상이 관찰됐다는 조사결과가 나와 국민들을 긴장시키고 있다.,negative
공기정화,16일 11번가에 따르면 미세먼지가 극성을 부린 11~14일 공기정화 식물 거래가 전년 동기 대비 119% 증가했다.,16일 11번가에 따르면 미세먼지가 극성을 부린 11~14일 공기정화 식물 거래가 전년 동기 대비 119% 증가했다.,positive
수질오염사고,,"16일 '2019년도 수질오염사고 사례'에 따르면 2017년 19건이었던 수질오염사고는 2018년 17건, 2019년 16건으로 감소했다.",negative
PCB,16일 삼성전기에 따르면 부산시 강서구 녹산산업단지에 위치한 삼성전기 부산사업장은 MLCC 및 기판(PCB)를 생산하고 있는 국내 핵심 생산기지다..,16일 삼성전기에 따르면 부산시 강서구 녹산산업단지에 위치한 삼성전기 부산사업장은 MLCC 및 기판(PCB)를 생산하고 있는 국내 핵심 생산기지다.,neutral
합성세제,16일 새벽 0시47분께 울산 남구 부곡동 합성세제 제조업체인 이수화학 울산공장에서 유독성 화학물질인 불산이 누출되는 사고가 났다.,16일 새벽 0시47분께 울산 남구 부곡동 합성세제 제조업체인 이수화학 울산공장에서 유독성 화학물질인 불산이 누출되는 사고가 났다.,neutral
합성세제,16일 새벽 0시47분께 울산 남구 부곡동 합성세제 제조업체인 이수화학 울산공장에서 유독성 화학물질인 불산이 누출되는 사고가 났다.,16일 새벽 0시47분께 울산 남구 부곡동 합성세제 제조업체인 이수화학 울산공장에서 유독성 화학물질인 불산이 누출되는 사고가 났다.,neutral
불화수소,16일 새벽 이수화학 울산공장에서 기체상태의 불화수소 1t 가량이 누출됐다.,16일 새벽 이수화학 울산공장에서 기체상태의 불화수소 1t 가량이 누출됐다.,negative
산업폐기물,17일 오전 10시 7분 안산시 단원구 성곡동 한 산업폐기물 처리공장에서 화재가 발생했다.,17일 오전 10시 7분 안산시 단원구 성곡동 한 산업폐기물 처리공장에서 화재가 발생했다.,neutral
칼륨,1817년 페탈라이트라는 반투명 광물에서 칼륨 화합물을 찾던 중 물에 반응하는 미..,1817년 페탈라이트라는 반투명 광물에서 칼륨 화합물을 찾던 중 물에 반응하는 미생물의 존재를 발견했다.,neutral
뢴트겐,1895년 11월 8일은 독일의 과학자 뢴트겐(1845~1923)이 X-선을 발견한 날이다.,1895년 11월 8일은 독일의 과학자 뢴트겐이 X-선을 발견한 날이다.,neutral
라듐,1903년 열린 노벨물리학상 시상 기념연설에서 마리 퀴리의 남편이자 퀴리 부인과 함께 방사성물질 '라듐'을 발견..,1903년 열린 노벨물리학상 시상 기념연설에서 마리 퀴리의 남편이자 퀴리 부인과 함께 방사성물질 '라듐'을 발견한 사실이 언급되었다.,neutral
공장폐수,"1960~1970년대 이후로 급진적인 도시화, 산업화에 따른 생활하수와 공장폐수로 인하여 전주천 도심구간에서 수질 악화가 심각해져, 수질개선과 생태계복원을 위해 2000년부터 20..",1960~1970년대 이후 급진적인 도시화와 산업화로 인한 공장폐수로 전주천 도심구간의 수질 악화가 심각해져 수질개선과 생태계 복원을 위해 2000년부터 노력해 왔다.,negative
유엔인간환경회의,"1972년 6월 5일 스웨덴의 수도 스톡홀름에서 열린 유엔인간환경회의에 따라 제정됐고, 우리나라도 1996년부터 6월 5일을 법정기념일로 삼았죠.",1972년 6월 5일 스웨덴 스톡홀름에서 열린 유엔인간환경회의에 따라 제정된 날이다.,neutral
유엔인간환경회의,"1972년 6월 스웨덴 스톡홀름 '유엔인간환경회의'에서 제정했고, 그해 UN총회에서 채택됐다.",1972년 6월 스웨덴 스톡홀름에서 열린 유엔인간환경회의에서 제정되어 그해 UN총회에서 채택됐다.,neutral
상수원 보호구역,{IMG:1}1972년 한강 홍수로 침몰돼 상수원 보호구역에서 부식 중이던 폐선박이 44년 만에 인양됐다.,1972년 한강 홍수로 침몰돼 상수원 보호구역에서 부식 중이던 폐선박이 44년 만에 인양됐다.,neutral
사회생물학,"ㆍ케빈 랠런드 길리언 브라운의 ‘센스 앤 넌센스’

1975년 에드워드 윌슨은 <사회생물학>이라는 책을 세상에 내놓았다.",1975년 에드워드 윌슨은 <사회생물학>이라는 책을 세상에 내놓았다.,neutral
광산폐수,1980년대 이전에는 태백에서 시커먼 광산폐수가 흘러내렸고 열목어 서식지 골포천 상류에도 중석광산이 개발되었습니다. (구),1980년대 이전에는 태백에서 시커먼 광산폐수가 흘러내렸고 열목어 서식지 골포천 상류에도 중석광산이 개발되었습니다.,negative
산업폐수,"1980년대에는온산공단의 산업폐수 및 대기오염으로 인해 인근 어장과 농작물 등의 환경 피해와 함께 주민들에게도 피부질환, 근골격계ㆍ신경계 및 호흡기 증상 등 다양한 증상이 나타났다.","1980년대에는 온산공단의 산업폐수 및 대기오염으로 인해 인근 어장과 농작물 등의 환경 피해와 함께 주민들에게도 피부질환, 근골격계ㆍ신경계 및 호흡기 증상 등 다양한 증상이 나타났다.",negative
체르노빌 원자력발전소 사고,1986년 4월 옛 소련에서 일어난 체르노빌 원자력발전소 사고에도 굳건했던 원자력 발전은 2011년 3월 동일본대지진 때 발생한 후쿠시마 원전 사고를 계기로 대전환을 맞게 된다.,1986년 4월 옛 소련에서 일어난 체르노빌 원자력발전소 사고에도 굳건했던 원자력 발전은 2011년 3월 동일본대지진 때 발생한 후쿠시마 원전 사고를 계기로 대전환을 맞게 된다.,negative
체르노빌 원자력발전소 사고,"1945년 미국의 원자폭탄 투하, 1986년 체르노빌 원자력발전소 사고, 2011년 후쿠시마 원자력발전소 사고.",1986년 체르노빌 원자력발전소 사고.,negative
페놀,1990년대에는 '낙동강 페놀 유출사태' 등으로 물에 대한 국민의 경각심이 절..,1990년대에는 '낙동강 페놀 유출사태' 등으로 물에 대한 국민의 경각심이 절실히 일어났다.,negative
고도 정수처리,“1991년 낙동강 페놀 유출 사고를 계기로 국비 수천억 원을 들여 고도 정수처리 시설을 지었다. 그러나 현장 운용이 제대로 되지 못하면 결국 무용지물이라는 게 드러났다. 수돗물 유충 사태는 전형적인 관재(官災)다”,"1991년 낙동강 페놀 유출 사고를 계기로 국비 수천억 원을 들여 고도 정수처리 시설을 지었으나, 현장 운용이 제대로 되지 않으면 무용지물이 될 수 있음을 보여주는 사례다.",neutral
페놀,“1991년 낙동강 페놀 유출 사고를 계기로 국비 수천억 원을 들여 고도 정수처리 시설을 지었다. 그러나 현장 운용이 제대로 되지 못하면 결국 무용지물이라는 게 드러났다. 수돗물 유충 사태는 전형적인 관재(官災)다”,"1991년 낙동강 페놀 유출 사고를 계기로 국비 수천억 원을 들여 고도 정수처리 시설을 지었지만, 현장 운용이 제대로 되지 않으면 무용지물이라는 것이 드러났다.",negative
페놀,"지방하천 100곳에 수위관측소 
방류 위험 최소화 ‘디지털 트윈’ 
스마트 하수관리체계도 구축1991년 발생한 낙동강 페놀 오염 사고를 계기로 1994년 환경부가 당시 건설부 상하수도 관리업무를 넘겨받은 뒤 24년이 지난 2018년 6월 수질, 수량은 물론 재해예방 기능까지 환경부로 통합됐다.","1991년 발생한 낙동강 페놀 오염 사고를 계기로 1994년 환경부가 당시 건설부 상하수도 관리업무를 넘겨받은 뒤 24년이 지난 2018년 6월 수질, 수량은 물론 재해예방 기능까지 환경부로 통합됐다.",negative
페놀,"1991년과 1994년, 낙동강 중류에 위치한 구미공업단지에서 페놀이 유출되는 사고가 발생하면서 안전한 먹는물에 대한 목소리가 높아졌다.","1991년과 1994년, 구미공업단지에서 페놀이 유출되는 사고가 발생하면서 안전한 먹는물에 대한 목소리가 높아졌다.",negative
페놀,1991년은 바로 '낙동강 페놀 사건'이 발생했던 해이다.,1991년은 바로 '낙동강 페놀 사건'이 발생했던 해이다.,negative
리우선언,1992년 채택된 ‘환경과 개발에 관한 리우선언’의 핵심 내용 중 하나이다.,1992년 채택된 ‘환경과 개발에 관한 리우선언’의 핵심 내용 중 하나이다.,neutral
환경기준,1997년 PM2.5 환경기준..,1997년 PM2.5 환경기준이 제정되었다.,neutral
상수원보호구역,"1999년에 상수원보호구역으로 지정된 이후, 2015년에는 주변 행정구역과 함께 수질 보전을 위한 상생 협력을 선언하면서 환경적으로 그 가치는 더욱 커져가고 있다.","1999년에 상수원보호구역으로 지정된 이후, 환경적으로 그 가치가 더욱 커지고 있다.",neutral
환경기준,"19대 대선 후보들이 미세먼지 저감을 위한 환경기준 강화에는 동의하고 있지만, 교통수요 관리에 대한 고민은 부족하다는 평가가 나왔다.","19대 대선 후보들은 미세먼지 저감을 위한 환경기준 강화에는 동의하고 있지만, 교통수요 관리에 대한 고민은 부족하다는 평가가 나왔다.",positive
미세먼지 관리 특별대책,19일 나기수 청주시 환경관리본부장이 청주시청 브리핑룸에서 '청주시 미세먼지 관리 특별대책'을 발표하고 있다.,19일 나기수 청주시 환경관리본부장이 청주시청 브리핑룸에서 '청주시 미세먼지 관리 특별대책'을 발표하고 있다.,positive
기상위성,"19일 미국 해양대기청(NOAA)이 최첨단 기상위성 GOES-17을 통해 확인한 결과, 캘리포니아 해안에서 남서쪽으로 길게 뻗은 산불 연기는 태평양 상공 965㎞ 일대를 뒤덮고 있었다.",19일 미국 해양대기청(NOAA)이 최첨단 기상위성 GOES-17을 통해 산불 연기를 확인했다.,neutral
ODA,"◆19일(월) 
△OECD 개발원조위원회(DAC), 한국 ODA 전반에 대한 동료검토 진행 △기재부, 물가관계차관회의 개최 △농진청, 맑고 깨끗한 피부는 ‘익힌 숙잠’으로 △공정위, OECD 경쟁위원회 6월 회의 참가 △산업부, 고리1호기 영구정지 관련 행사 개최 △산업부, 무역기술장벽 대응을 위한 중국 현지 설명회 개최 △산업부, 대한민국 대표 쇼핑관..",19일에는 OECD 개발원조위원회(DAC)의 한국 ODA 전반에 대한 동료검토가 진행되었다.,neutral
피피엠,1시간 평균 오존 농도가 0.12ppm(피피엠 100만분의 1을 나타내는 단위) 이상일 때 발령되는 오존주의보는 올 들..,1시간 평균 오존 농도가 0.12ppm 이상일 때 발령되는 오존주의보는 피피엠 단위로 측정된다.,neutral
교각,1일 오후 2시 6분 경남 창녕군 길곡면 낙동강 창녕함안보 5번과 6번 교각 사이의 가동보가 작동을 시작했다.,1일 오후 2시 6분 경남 창녕군 길곡면 낙동강 창녕함안보 5번과 6번 교각 사이의 가동보가 작동을 시작했다.,neutral
PCB,"2000년 설립된 디플러스(주)는 자동차전장 모듈, 충방전 시스템 제조, 반도체 PCB IT 모듈 관련 Test 장치 설계, 정밀가공 전문기업으로 경기 화성, 구미에 사업장, 베트남 법인 등을 두고 연 매출 190억 원을 올리고 있다.
..","2000년 설립된 디플러스(주)는 반도체 PCB IT 모듈 관련 Test 장치 설계 및 정밀가공 전문기업으로 경기 화성, 구미에 사업장과 베트남 법인을 두고 연 매출 190억 원을 올리고 있다.",neutral
녹조류,2008년 파랗고 빨간 물감을 풀어놓은 듯한 녹조류와 적조가 제주도 서남쪽 해역과 한국 관할 북부 동중국해역에서 발견됐다.,2008년 제주도 서남쪽 해역과 한국 관할 북부 동중국해역에서 녹조류가 발견됐다.,neutral
태양 흑점,"최근 대형 태양풍 발생 빈번 10년내 최악 발생 가능성 12%
2009년 니컬러스 케이지가 주연한 영화 ‘노잉’은 지구의 자기장 이상과 대규모의 태양 흑점 폭발로 인해 열기가 지구 전체를 뒤덮으면서 인류에게 종말이 닥치는 내용을 담았다.",2009년 니컬러스 케이지가 주연한 영화 ‘노잉’은 태양 흑점 폭발로 인한 지구의 자기장 이상과 인류 종말을 그렸다.,neutral
기상위성,"2010년 6월 천리안위성 1호를 발사하면서 일본, 미국에 이어 3번째 정지궤도 차세대 기상센서 보유국이 된다.","2010년 6월 천리안위성 1호를 발사하면서 일본, 미국에 이어 3번째 정지궤도 차세대 기상센서 보유국이 된다.",positive
멜트다운,[이데일리 최정훈 기자] 2011년 3월 후쿠시마 제1원전 사고 당시 노심용융(멜트다운)이 발생한 1호기 원자로 바닥에 구멍이 뚫렸을 가능성이 큰 것으로 확인됐다.,2011년 3월 후쿠시마 제1원전 사고 당시 노심용융(멜트다운)이 발생한 1호기 원자로 바닥에 구멍이 뚫렸을 가능성이 큰 것으로 확인됐다.,negative
방사성 동위원소,"2011년 후쿠시마 원전사고가 발생했을 때, 지금 후쿠시마에 보관 중인 처리수의 방사성 동위원소의 1000배가 넘는 고농도 오염수가 하루에 300t씩 방류됐지만, 우리 해역에 영향은 나타나..","2011년 후쿠시마 원전사고 당시 방사성 동위원소의 1000배가 넘는 고농도 오염수가 하루에 300t씩 방류됐지만, 우리 해역에 영향은 나타나지 않았다.",neutral
분뇨,2012년 이후 4년 만에 다시 환경 우수 지자체로 지정됐지만 졸지에 '분뇨 악취'가 풀풀 풍기는 혐오 지역으로 전락할 처지에 놓인 것이다.,2012년 이후 4년 만에 다시 환경 우수 지자체로 지정됐지만 졸지에 '분뇨 악취'가 풀풀 풍기는 혐오 지역으로 전락할 처지에 놓인 것이다.,negative
페놀,2013년 4월 강원 강릉 옥계면 포스코 마그네슘 제련공장에서 페놀 등 독성..,2013년 4월 강원 강릉 옥계면 포스코 마그네슘 제련공장에서 페놀 등 독성 물질이 배출되었다.,negative
세계보건기구,,2013년 세계보건기구(WHO) 산하 국제암연구소(IARC)가 ‘미세먼지’를 1급 발암물질로 지정했다.,neutral
해양투기,2014년 해양투기가 금지되면서 울산시가 하수관로에 매년 퇴적되는 준설슬러지(오니) 5000여t 처리에 비상이 걸렸다.,2014년 해양투기가 금지되면서 울산시가 하수관로에 매년 퇴적되는 준설슬러지(오니) 5000여t 처리에 비상이 걸렸다.,negative
트리클로로에틸렌,2015년 남영전구 수은 유출사고를 비롯해 2016년 세방산업 TCE(트리클로로에틸렌..,2016년 세방산업 TCE(트리클로로에틸렌) 유출사고가 발생하였다.,negative
채식주의자,"2016년을 결산하는 자리에서 한 출판평론가는 지난해 출판 동향을 몇 가지로 요약했는데, 맨부커상을 수상한 작품 ‘채식주의자’ 열풍이나 높아진 여성혐오에 대한 감수성이 촉발한 페미니즘 도서의 러시와 같은 흐름과 더불어 ‘교양과학의 약진’을..",2016년을 결산하는 자리에서 한 출판평론가는 맨부커상을 수상한 작품 ‘채식주의자’ 열풍을 비롯한 출판 동향을 요약했다.,positive
액화천연가스,"2017년 ‘미세먼지 종합대책’에서는 아직 착공하지 않은 석탄발전 4기를 액화천연가스(LNG)로 돌리겠다고 했고, 지난해 11월 ‘비상 상시 관리강화 대책’에서는 지난달까지 경유차 감축 로드맵을 발..","2017년 ‘미세먼지 종합대책’에서는 아직 착공하지 않은 석탄발전 4기를 액화천연가스(LNG)로 돌리겠다고 했고, 지난해 11월 ‘비상 상시 관리강화 대책’에서는 지난달까지 경유차 감축 로드맵을 발..",neutral
