original_sentence,processed_sentence,term
대한불교법화종에 따르면 스님은 2002년 법성사 주지가 되기 전부터 이곳에서 수행 공부를 해왔다.,대한불교법화종 따르면 스님 2002년 법성사 주지 되기 전 이곳 수행 공부 해왔다.,공부
"권영세 비상대책위원장은 이날 국회에서 열린 비대위 회의에서 ""법리적으로나 상식적으로나 도저히 이해하기 어려운 판결""이라며 ""검찰은 신속하게 대법원에 상고하고, 대법원은 하루빨리 올바른 판단을 해달라""고 밝혔다.","권영세 비상대책위원장 이날 국회 열린 비대위 회의 ""법리적 상식적 도저히 이해하기 어려운 판결""이라며 ""검찰 신속하게 대법원 상고하고, 대법원 하루빨리 올바른 판단 해달라"" 밝혔다.",검찰
"전문보기   view AKR051530   검찰 ""이정섭, 검사 실무관 시켜 가사도우미 처남 사건조회"" 이정섭 대전고검 검사가 처남 집 가사도우미의 범죄 이력, 처남의 사건 진행 상황 등을 다른 검사와 실무관에게 조회하도록 지시한 사실이 검찰 조사 결과 드러났다.","전문보기   view AKR051530   검찰 ""이정섭, 검사 실무관 시켜 가사도우미 처남 사건조회"" 이정섭 대전고검 검사가 처남 집 사도우미 범죄 이력, 처남 사건 진행 상황 등 다른 검사 실무관 조회하도록 지시한 사실 검찰 조사 결과 드러났다.",검찰
검찰은 이 검사가 서울동부지검 형사6부 부장검사로 재직하던 2020년 3월 A 검사에게 처남 집에서 일하는 가사도우미의 전과를 조회하도록 한 뒤 전과 정보를 아내를 통해 처남댁인 강미정 씨(현 조국혁신당 대변인)에게 알려줬다고 봤다.,검찰 이 검사 서울동부지검 형사6부 부장검사 재직하던 2020년 3월 A 검사 처남 집 일하는 가사도우미 전과 조회하도록 한 뒤 전 정보 아내 통해 처남댁인 강미정 씨(현 조국혁신당 대변인) 알려줬다고 봤다.,검찰
"한국노동조합총연맹(한국노총)은 ""돌아가신 분 중 세 분은 예방진화대로 5~7개월 계약직에 사전교육은 10시간뿐이었고 안전용구도 미착용하는 등 많은 문제가 있었던 것으로 알려졌다""며 ""산불 진화 및 재난 대응 시스템, 산불 진화 인력의 안전 확보 방안 등을 철저히 점검해 다시는 이와 같은 비극이 반복되지 않도록 해야 할 것""이라고 비판했다.","한국노동조합총연맹(한국노총) ""돌아가신 분 중 세 분 예방진화 5~7개월 계약직 사전교육 10시간뿐이었고 안전용구 미착용하는 등 많은 문제 있었던 것 알려졌다""며 ""산불 진화 및 재난 대응 시스템, 산불 진화 인력 안전 확보 방안 등 철저히 점검해 다시 이 같은 비극 반복되지 않도록 해야 할 것"" 비판했다.",시스템
"우리나라 제1호 국립공원이자 국내에서 가장 면적이 넓은 지리산국립공원은 생태 환경적으로 중요한 의미를 지니고 있는 곳으로, 경남도청은 불이 더 번지지 않도록 방화선을 구축하고 진화 작업을 벌이고 있습니다.","우리나라 제1호 국립공원이자 국내 가장 면적 넓은 지리산국립공원 생태 환경적 중요한 의미 지니고 있는 곳, 경남도청 불 더 번지지 않도록 방화선 구축하고 진화 작업 벌이고 있습니다.",방화선
"한편 국가유산청은 현장에 총 750여 명을 투입해 예찰 및 긴급 조치를 실시하고 있으며, 주변 수목 제거 등을 통해 하회마을, 병산서원, 도산서원, 봉정사 등지에 방화선을 구축했다.","한편 국가유산청 현장 총 750여 명 투입해 예찰 및 긴급 조치 실시하고 있으며, 주변 수목 제거 등을 통해 하회마, 병산서원, 도산서원, 봉정사 등지 방화선 구축했다.",방화선
"국가유산청은 산불 피해 예방을 위해 안동 봉정사 등 사찰에 있는 유물 3건 1566점을 안전한 곳으로 옮기고 하회마을, 병산서원, 도산서원, 봉정사 등 주변 수목을 제거해 방화선을 구축했다.","국가유산청 산불 피해 예방 위해 안동 봉정사 등 사찰 있는 유물 3건 1566점 안전한 곳 옮기고 하회마을, 병산서원, 도산서원, 봉정사 등 주변 수목 제거해 방화선 구축했다.",방화선
"국가유산청은 ""산불 위험으로부터 국가유산 보호를 위해 예방 살수, 방염포 설치, 방화선 구축, 유물 긴급 이송 등 긴급조치를 지속적으로 실시하고 있다""고 밝혔다.","국가유산청 ""산불 위험 국가유산 보호 위해 예방 살수, 방염포 설치, 방화선 구축, 유물 긴급 송 등 긴급조치 지속적 실시하고 있다"" 밝혔다.",방화선
다만 모든 리스크에 있어서 피해를 최소화하거나 시류를 전망해 대비하는 일에는 게으름이 있을 수 없다.,다만 모든 리스크 있어서 피해 최소화하거나 시류 전망해 대비하는 일 게으름 있을 수 없다.,리스크
글로벌 시대를 맞아 냉철한 분석과 선제적 준비 과정은 반드시 필요하다.,글로벌 시대 맞아 냉철한 분석과 선제적 준비 정 반드시 필요하다.,글로벌
또 미국 뉴욕도 하버드와 MIT 공대생들이 기업의 도움을 받아 창업하고 유니콘(매출 1조 이상 스타트업 기업)으로 성장하는 사례를 종종 볼 수 있다.,또 미국 뉴욕 하버드 MIT 공대생들 기업 도움 받아 창업하고 유니콘(매출 1조 이상 스타트업 기업) 성장하는 사례 종종 볼 수 있다.,스타트업
대학도 고가의 R＆D 장비를 기업에 개방해 산업 기술 발전에 시너지 효과를 내도록 해야 한다.,대학 고가 R＆D 장비 기업 개방해 산업 기술 발전 시너지 효과 내도록 해야 한다.,시너지
대학도 고가의 R＆D 장비를 기업에 개방해 산업 기술 발전에 시너지 효과를 내도록 해야 한다.,대학 고가 R＆D 장비 기업 개방해 산업 기술 발전 시너지 효과 내도록 해야 한다.,시너지 효과
"원 센터장은 산불이 영덕까지 확산할 것을 예상하지 못했는지 묻는 질문에 ""바람의 방향에 따라 영덕 쪽 이전까지 예측이 된 걸로 알고 있다""며 ""지금 시스템으로 전체적으로 이렇게 확산이 될 줄은 미처 몰랐다""고 밝혔다.","원 센터장 산불 영덕 확산할 것 예상하지 못했는지 묻는 질문 ""바람 방향 따라 영덕 쪽 이전 예측 된 걸로 알고 있다""며 ""지금 시스템 전체적 이렇게 확산 될 줄 미처 몰랐다"" 밝혔다.",시스템
스님은 2002년 법성사 주지가 되기 전부터 이곳에서 수행 공부를 해온 것으로 전해졌다.,스님 2002년 법성사 주지 되기 전 이곳 수행 공부 해온 것 전해졌다.,공부
"GS리테일은 전국에 위치한 편의점 GS25, 홈쇼핑 GS샵, 슈퍼마켓 GS더프레시, 물류센터 등 폭넓은 사업 인프라를 바탕으로 재난 발생 시 신속한 구호 활동을 통해 지역사회 안전망 강화에 앞장서고 있다.","GS리테일 전국 위치한 편의점 GS25, 홈쇼핑 GS샵, 슈퍼마켓 GS더프레시, 물류센터 등 폭넓은 사업 인프라 바탕 재난 발생 시 신속한 구호 활동 통해 지역사회 안전망 강화 앞장서고 있다.",인프라
"이날까지는 평년보다 3~11도 높은 포근한 봄 날씨를 보였으나, 비가 그친 후에는 밤부터 북서쪽에서 찬 공기가 내려오면서 기온이 차차 떨어져 28일은 평년보다 춥겠다.","이날 평년 3~11도 높은 포근한 봄 날씨 보였으나, 비 그친 후 밤 북서쪽 찬 공기 내려오면서 기온 차차 떨어져 28일 평년 춥겠다.",공기
'상상펀드'는 2011년 출범한 KT G의 사회공헌기금으로 임직원들이 매월 급여의 일정 금액을 자발적으로 기부하면 회사가 동일한 금액을 더하는 매칭 그랜트 형태로 조성된다.,'상상펀드' 2011년 출범한 KT G 사회공헌기금 임직원들 매월 급여 일정 금액 자발적 기부하면 회사 동일한 금액 더하는 매칭 그랜트 형태 조성된다.,매칭 그랜트
300 이상은 공기 오염이 극심하여 건강에 큰 위협이 되는 상태로 사람들은 실내에 머물며 외출을 삼가야 한다.,300 이상 공기 오염 극심하여 건강 큰 위협 되는 상태 사람들 실내 머물며 외출 삼가야 한다.,공기
문이나 창문 바닥에 축축한 걸레를 놓아두면 오염된 외부 공기를 막는데 효과가 있다.,문 창문 바닥 축축한 걸레 놓아두면 오염된 외부 공기 막는데 효과 있다.,공기
N95 마스크는 공기 중에 떠다니는 0.3㎛(마이크로미터. 100만분의 1미터를 의미),N95 마스크 공기 중 떠다니는 0.3㎛(마이크로미터. 100만분 1미터 의미),공기
'상상펀드'는 2011년 출범한 KT G의 사회공헌기금으로 임직원들이 매월 급여의 일정 금액을 자발적으로 기부하면 회사가 동일한 금액을 더하는 매칭 그랜트 형태로 조성된다.,'상상펀드' 2011년 출범한 KT G 사회공헌기금 임직원들 매월 급여 일정 금액 자발적 기부하면 회사 동일한 금액 더하는 매칭 그랜트 형태 조성된다.,매칭 그랜트
"이번에는  재난방송 스튜디오를 연결해 산불 확산 상황, 지도와 CCTV로 입체적으로 분석해 보겠습니다.","이번  재난방송 스튜디오 연결해 산불 확산 상황, 지도 CCTV 입체적 분석해 보겠습니다.",스튜디오
지금까지 재난방송 스튜디오에서 전해드렸습니다.,지금 재난방송 스튜디오 전해드렸습니다.,스튜디오
"향후 발생할 수 있는 재난?재해에 맞서 쉘터와 급식소, 구호물자, 방염 물품, 회복 차량 등 예방 및 대응을 위한 인프라 구축에도 힘을 보탤 계획이다.","향후 발생할 수 있는 재난?재해 맞서 쉘터 급식소, 구호물자, 방염 물품, 회복 차량 등 예방 및 대응 위한 인프라 구축 힘 보탤 계획이다.",인프라
대한불교법화종에 따르면 선정스님은 2002년 법성사 주지가 되기 전부터 이곳에서 수행 공부를 해왔다.,대한불교법화종 따르면 선정스님 2002년 법성사 주지 되기 전 이곳 수행 공부 해왔다.,공부
강원도와 경북 등에서 대형 산불이 잇따르며 제노코가 보유한 무인기 및 비행선을 활용한 산불 감시 진압 시스템 특허가 주목받고 있다.,강원도 경북 등 대형 산불 잇따르며 제노코 보유한 무인기 및 비행선 활용한 산불 감시 진압 시스템 특허 주목받고 있다.,시스템
"제노코는 위성통신, 항공전자, 방산 전자 시스템 전문 기업으로, 최근에는 재난 대응 기술까지 포트폴리오를 확장하고 있다.","제노코 위성통신, 항공전자, 방산 전자 시스템 전문 기업, 최근 재난 대응 기술 포트폴리오 확장하고 있다.",시스템
"또 기존 감시 시스템 대비 설치 및 운용 비용이 낮고, 통신 인프라가 부족한 산악지대에서도 제노코의 위성통신 기술과 연동돼 강력한 시너지를 발휘할 수 있다.","또 기존 감시 시스템 대비 설치 및 운용 비용 낮고, 통신 인프라 부족한 산악지대 제노코 위성통신 기술 연동돼 강력한 시너지 발휘할 수 있다.",시스템
"또 기존 감시 시스템 대비 설치 및 운용 비용이 낮고, 통신 인프라가 부족한 산악지대에서도 제노코의 위성통신 기술과 연동돼 강력한 시너지를 발휘할 수 있다.","또 기존 감시 시스템 대비 설치 및 운용 비용 낮고, 통신 인프라 부족한 산악지대 제노코 위성통신 기술 연동돼 강력한 시너지 발휘할 수 있다.",인프라
"또 기존 감시 시스템 대비 설치 및 운용 비용이 낮고, 통신 인프라가 부족한 산악지대에서도 제노코의 위성통신 기술과 연동돼 강력한 시너지를 발휘할 수 있다.","또 기존 감시 시스템 대비 설치 및 운용 비용 낮고, 통신 인프라 부족한 산악지대 제노코 위성통신 기술 연동돼 강력한 시너지 발휘할 수 있다.",시너지
"업계 관계자는 ""기존 산불 대응 시스템은 감시와 진압이 분리되어 있는 반면, 제노코의 기술은 '감시 판단 초기 진화'를 하나의 체계로 묶은 융합형 시스템""이라며 ""기후 변화로 인해 연중 산불 리스크가 상시화되면서 해당 기술의 상용화 가능성과 수요가 높아질 수 있다""고 말했다.","업계 관계자 ""기존 산불 대응 시스템 감시 진압 분리되어 있는 반면, 제노코 기술 '감시 판단 초기 진화' 하나 체계 묶은 융합형 시스템""이라며 ""기후 변화 인해 연중 산불 리스크 상시화되면서 해당 기술 상용화 가능성 수요 높아질 수 있다"" 말했다.",리스크
"업계 관계자는 ""기존 산불 대응 시스템은 감시와 진압이 분리되어 있는 반면, 제노코의 기술은 '감시 판단 초기 진화'를 하나의 체계로 묶은 융합형 시스템""이라며 ""기후 변화로 인해 연중 산불 리스크가 상시화되면서 해당 기술의 상용화 가능성과 수요가 높아질 수 있다""고 말했다.","업계 관계자 ""기존 산불 대응 시스템 감시 진압 분리되어 있는 반면, 제노코 기술 '감시 판단 초기 진화' 하나 체계 묶은 융합형 시스템""이라며 ""기후 변화 인해 연중 산불 리스크 상시화되면서 해당 기술 상용화 가능성 수요 높아질 수 있다"" 말했다.",시스템
"제노코는 항공전자 및 방산기술 기반의 정밀 임무 장비를 개발해온 노하우를 바탕으로, 민간 재난 대응 시장에서도 두각을 나타낼 것으로 기대된다.","제노코 항공전자 및 방산기술 기반 정밀 임무 장비 개발해온 노하우 바탕, 민간 재난 대응 시장 두각 나타낼 것 기대된다.",노하우
향후 정부의 산불 대응 시스템 고도화와 함께 관련 예산 확대 시 직접 수혜가 가능한 대표 기술주로도 꼽힌다.,향후 정부 산불 대응 시스템 고도화 함께 관련 예산 확대 시 직접 수혜가 능한 대표 기술주로 꼽힌다.,시스템
이웃의 커뮤니티 공간인 동네생활 탭에도 산불 피해를 입은 이웃에게 응원의 메시지를 보내는 전용 게시판을 마련했다.,이웃 커뮤니티 공간인 동네생활 탭 산불 피해 입은 이웃 응원 메시지 보내는 전용 게시판 마련했다.,커뮤니티
"해당 골프장에서 근무 중이던 캐디 는 온라인 커뮤니티에 ""산불에 죽을 뻔했다""는 글과 함께 영상과 사진을 공개했습니다.","해당 골프장 근무 중이던 캐디  온라인 커뮤니티 ""산불 죽을 뻔했다"" 글 함께 영상 사진 공개했습니다.",커뮤니티
"노조는 ""캐디는 산업안전보건법상 보호를 받지 못하고 있으며, 작업중지권도 명확히 보장돼 있지 않다""라며 ""이러한 구조 속에서는 폭염과 혹한, 태풍은 물론 산불까지도 '출근 사유'가 되는 현실이 반복될 수밖에 없다""라고 지적했습니다.","노조 ""캐디 산업안전보건법상 보호 받지 못하고 있으며, 작업중지권 명확히 보장돼 있지 않다""라며 ""이러한 구조 속 폭염 혹한, 태풍 물론 산불 '출근 사유' 되는 현실 반복될 수 없다"" 지적했습니다.",혹한
"그는 ""불길이 영덕 바다까지 갔고 북쪽으로는 울진으로 번지던 중 습도가 높아져 일시 소강상태를 보이고 있지만 북동풍 영향으로 울진까지 산불이 번질 가능성도 있다""며 ""2022년 울진 삼척 산불로 다 타버린 지역이 이번 산불의 방화선 역할을 할 것으로 보인다""고 짚었다.","그 ""불길 영덕 바다 갔고 북쪽 울진 번지던 중 습도 높아져 일시 소강상태 보이고 있지만 북동풍 영향 울진 산불 번질 가능성 있다""며 ""2022년 울진 삼척 산불 다 타버린 지역이 번 산불 방화선 역할 할 것 보인다"" 짚었다.",방화선
"그는 ""산불 대응책의 전반적인 변화가 필요하다""며 ""시스템, 조직, 교육 훈련 세 박자에 변화가 없는 이상 앞으로도 대형 산불로 인한 피해가 속출할 수밖에 없다""고 덧붙였다.","그 ""산불 대응책 전반적인 변화 필요하다""며 ""시스템, 조직, 교육 훈련 세 박자 변화 없는 이상 앞 대형 산불 인한 피해 속출할 수 없다"" 덧붙였다.",시스템
배민은 희망브리지와 함께 자사 플랫폼을 통해 산불 피해 복구와 이재민을 돕는 모금 캠페인도 진행한다.,배민 희망브리지 함께 자사 플랫폼 통해 산불 피해 복구 이재민 돕는 모금 캠페인 진행한다.,플랫폼
"카카오의 사회공헌 플랫폼 '카카오같이가치'가 경남과 경북, 울산 등지에서 발생한 대형 산불 피해 복구 지원을 위해 운영 중인 긴급 모금 캠페인에 120만 명이 넘는 이용자가 동참하고, 현재까지 50억 원 이상의 기부금이 모였다.","카카오 사회공헌 플랫폼 '카카오가치' 경남 경북, 울산 등지 발생한 대형 산불 피해 복구 지원 위해 운영 중인 긴급 모금 캠페인 120만 명이 넘는 용자 동참하고, 현재 50억 원 이상 기부금 모였다.",플랫폼
"이날 회의에서 이 시장은 오후 비 예보가 있지만 강우량이 인근 지역의 산불을 진화하기에는 역부족일 것으로 보여 모든 산불이 진화될 때까지 긴장을 늦추지 말고, 모든 가용 자원을 동원해 역량을 집중해 줄 것을 당부했다.","이날 회의 이 시장 오후 비 예보 있지만 강우량 인근 지역 산불 진화하기 역부족일 것 보여 모든 산불 진화될 때 긴장 늦추지 말고, 모든 가용 자원 동원해 역량 집중해 줄 것 당부했다.",가용 자원
"수리 비용 최대 50% 할인, 무상 세차 서비스 등 화재 피해 차량에 대한 서비스도 함께 제공한다.","수리 비용 최대 50% 할인, 무상 세차 서비스 등 화재 피해 차량 대한 서비스 함께 제공한다.",수리
"그는 ""무조건 울진까지 간다고 생각한다. 그래야 꺼질 것 같은 위중한 상황""이라며 ""강원도까지 번질 가능성은 작다. 2022년 울진 산불이 장거리 방화선을 만들어놨다. 강원도 삼척과의 경계선이 이미 다 탔기 때문에 산불이 넘어가진 않을 것""이라고 설명했다.","그 ""무조건 울진 간다고 생각한다. 그래야 꺼질 것 같은 위중한 상황""이라며 ""강원도 번질 가능성 작다. 2022년 울진 산불 장거리 방화선 만들어놨다. 강원도 삼척 경계선이 미 다 탔기 때문 산불 넘어가진 않을 것"" 설명했다.",방화선
연합뉴스와 대한불교법화종에 따르면 스님은 2002년 법성사 주지가 되기 전부터 이곳에서 수행 공부를 해왔다.,연합뉴스 대한불교법화종 따르면 스님 2002년 법성사 주지 되기 전 이곳 수행 공부 해왔다.,공부
"27일 카카오에 따르면 사회공헌 플랫폼 카카오같이가치가 경남과 경북, 울산 등지에서 발생한 대형 산불 피해 복구 지원을 위해 운영 중인 긴급 모금 캠페인에 120만 명이 넘는 이용자가 동참하고 현재까지 50억원 이상의 기부금이 모였다.","27일 카카오 따르면 사회공헌 플랫폼 카카오가치 경남 경북, 울산 등지 발생한 대형 산불 피해 복구 지원 위해 운영 중인 긴급 모금 캠페인 120만 명이 넘는 용자 동참하고 현재 50억원 이상 기부금 모였다.",플랫폼
이 때문에 인근에서 산불이 발생했다면 실내 창문과 출입문을 꼭 닫고 냉방장치를 외부 공기 유입 차단 모드로 실행하는 등 연기 노출을 최소화하기 위한 조치를 취해야 한다.,이 때문 인근 산불 발생했다면 실내 창문 출입문 꼭 닫고 냉방장치 외부 공기 유입 차단 모드 실행하는 등 연기 노출 최소화하기 위한 조치 취해야 한다.,공기
카카오 제공 카카오는 자사 사회공헌 플랫폼 '카카오같이가치'로 모인 경북 의성군 등 산불 피해 지역 복구를 위한 성금이 50억원이 넘었다고 27일 밝혔다.,카카오 제공 카카오 자사 사회공헌 플랫폼 '카카오가치' 모인 경북 성군 등 산불 피해 지역 복구 위한 성금 50억원 넘었다고 27일 밝혔다.,플랫폼
2007년 12월부터 누구나 모금과 기부에 참여할 수 있도록 제작된 사회공헌 플랫폼 카카오같이가치에 지금까지 모인 누적 기부금은 812억원에 달하며 그동안 약 1만9000개의 모금함이 진행됐다.,2007년 12월 누구 모금 기부 참여할 수 있도록 제작된 사회공헌 플랫폼 카카오가치 지금 모인 누적 기부금 812억원 달하며 그동안 약 1만9000개 모금함 진행됐다.,플랫폼
"전문가들, 고령층 특성 맞는 대피 시스템 촉구 ""각자도생하게 하면 안 돼"" 전문가들은 산간 지역에 불이 날 때마다 발생하는 고령층의 피해를 줄이기 위해선 고령층의 특성에 맞는 화재 시 대피 시스템을 구축해야 한다고 지적했다.","전문가들, 고령층 특성 맞는 대피 시스템 촉구 ""각자도생하게 하면 안 돼"" 전문가들 산간 지역 불 날 때 발생하는 고령층 피해 줄이기 위해선 고령층 특성 맞는 화재 시 대피 시스템 구축해야 한다고 지적했다.",시스템
산지에 사는 고령층 주민들과 담당 공무원을 매칭시키고 화재 시 공무원들이 주민들을 찾아 대피시키는 시스템을 만드는 게 하나의 예다.,산지 사는 고령층 주민들 담당 공무원 매칭시키고 화재 시 공무원들 주민들 찾아 대피시키는 시스템 만드는 게 하나 예다.,시스템
"이영주 경일대 소방방재학과 교수는 ""산불뿐만 아니라 농어촌 지역은 고령자 비율이 높고 혼자 사시는 분들이 많은데 재난대피 명령이 떨어지더라도 신체 능력 자체가 성인과는 달리 빨리 움직이지 못하는 한계가 있다""며 ""자력 대피가 어려운 고령자들이 먼저 대피할 수 있는 체계를 공적으로 갖추고 대피를 조력할 수 있게 이웃 공무원들과 매칭시키는 등 시스템을 갖출 필요가 있다""고 말했다.","이영주 경일대 소방방재학 교수 ""산불 아니라 농어촌 지역 고령자 비율 높고 혼자 사시는 분들 많은데 재난대피 명령 떨어지더라도 신체 능력 자체 성인는 달리 빨리 움직이지 못하 한계 있다""며 ""자력 대피 어려운 고령자들 먼저 대피할 수 있는 체계 공적 갖추고 대피 조력할 수 있게 이웃 공무원들 매칭시키는 등 시스템 갖출 필요 있다"" 말했다.",시스템
"특히 해운산업 AX 적용 사례를 통해 반복 업무 자동화와 효율성 제고, 직원 만족도 향상 등을 가져온 사례를 제시하는 한편 선박 운항 경로 최적화와 연료 소비 절감, 항만 체류 시간 단축 등 운영 비용(OPEX)을 획기적으로 절감한 글로벌 사례를 공유했다.","특히 해운산업 AX 적용 사례 통해 반복 업무 자동화 효율성 제고, 직원 만족 향상 등 가져온 사례 제시하는 한편 선박 운항 경로 최적화 연료 소비 절감, 항만 체류 시간 단축 등 운영 비용(OPEX) 획기적으로 절감한 글로벌 사례 공유했다.",글로벌
그 밖의 전국은 황사가 씻겨갔지만 오후에 다시 유입되며 중부지방을 중심으로 공기가 탁해지겠습니다.,그 밖 전국 황사 씻겨갔지만 오후 다시 유입되며 중부지방 중심 공기 탁해지겠습니다.,공기
"네이버는 성금 기부 이외에도 네이버 지도, 해피빈, 날씨 등 다양한 네이버 플랫폼을 활용해 산불 피해 확산 방지를 위해 힘쓰고 있다.","네이버 성금 기부 이외도 네이버 지, 해피빈, 날씨 등 다양한 네이버 플랫폼 활용해 산불 피해 확산 방지 위해 힘쓰고 있다.",플랫폼
"네이버 지도는 사용자의 안전한 이동을 돕기 위해 애플리케이션 메인에 대형 산불 관련 공지를 노출, 주요 도로의 통제 상황과 산불 시 행동요령 등을 안내하고 있다.","네이버 지도 사용자 안전한 이동 돕기 위해 애플리케이션 메인 대형 산불 관련 공지 노출, 주요 도로 통제 상황 산불 시 행동요령 등 안내하고 있다.",공지
"네이버의 온라인 기부 플랫폼 '해피빈'은 전국재해구호협회, 사회복지공동모금회, 대한적십자사 등과 함께 산불 피해 복구를 위한 모금 활동을 진행하고 있다.","네이버 온라인 기부 플랫폼 '해피빈' 전국재해구호협회, 사회복지공동모금회, 대한적십자사 등 함께 산불 피해 복구 위한 모금 활동 진행하고 있다.",플랫폼
"타타대우모빌리티 제공 타타대우모빌리티(사장 김방신)가 경남 산청군, 경북 의성군, 울산 울주군 등에서 발생한 산불에 투입된 소방차들의 원활한 산불진압과 현장복구를 위해, 긴급 무상 수리 파견 서비스를 지원하고 있다고 26일 밝혔다.","타타대우모빌리티 제공 타타대우모빌리티(사장 김방신) 경남 산청군, 경북 성군, 울산 울주군 등 발생한 산불 투입된 소방차들 원활한 산불진압 현장복구 위해, 긴급 무상 수리 파견 서비스 지원하고 있다고 26일 밝혔다.",수리
"타타대우모빌리티는 산불진압에 투입될 소방차량의 원활한 출동을 위해 전문 정비팀과 모바일 서비스 차량을 파견하고 투입된 전문 정비팀은 투입대기차량의 사전 점검은 물론, 혹시 모를 고장에 대한 진단과 수리를 함께 진행하고 있다.","타타대우모빌리티 산불진압 투입될 소방차량 원활한 출동 위해 전문 정비팀 모바일 서비스 차량 파견하고 투입된 전문 정비팀 투입대기차량 사전 점검 물론, 혹시 모를 고장 대한 진단 수리 함께 진행하고 있다.",수리
"국가유산청은 ""국가유산청장 이하 가용 인원을 적극 동원해 총력 대응 중""이라며 ""국가유산 보호를 위해 예방 살수, 방염포 설치, 방화선 구축, 유물 긴급 이송 등 긴급 조치를 지속 실시하겠다""고 전했다.","국가유산청 ""국가유산청장 하 가용 인원 적극 동원해 총력 대응 중""이라며 ""국가유산 보호 위해 예방 살수, 방염포 설치, 방화선 구축, 유물 긴급 송 등 긴급 조치 지속 실시하겠다"" 전했다.",방화선
